employee_id,employee_name,age,gender,location,education,career,job,skills,work_location,hope_salary,timestamp
a00000001,안XX,46세이상,여자,전라남도 순천시,대졸(예정),2년,devops/시스템 엔지니어,PaaS;Bash;Grafana;Linux,"전라남도 순천시, 전라남도 광양시, 경상남도 남해군",면접후결정,2025-09-10 05:52:41.669957
a00000002,권XX,31세~35세,남자,경기도 수원시,대졸(예정),8년,서버/백엔드 개발자,Python;Java;PyTorch,"인천광역시, 경기도 수원시, 경기도 용인시",4000이상,2025-09-10 05:52:41.669957
a00000003,이XX,26세~30세,남자,경기도 성남시,대졸(예정),4년,프론트엔드 개발자,Java;JavaScript;AWS;Git,경기도,3400~4000,2025-09-10 05:52:41.669957
a00000004,주XX,26세~30세,남자,서울특별시 동대문구,대졸(예정),1년,정보보안 담당자,ISO 27001;Cyber Security;Criminal IP;CISSP,서울특별시,3000~3400,2025-09-10 05:52:41.669957
a00000005,강XX,25세이하,남자,경기도 화성시,대졸(예정),신입,인공지능/머신러닝,AWS;Git;MySQL;PyTorch;FastAPI,"경기도 화성시, 경기도 군포시",3400~4000,2025-09-10 05:52:41.669957
a00000006,성XX,31세~35세,여자,경상북도 영덕군,초대졸(예정),2년,SW/솔루션,Spring Framework;JPA;Git;MySQL,"경상북도 영덕군, 경상북도 청송군, 경상북도 안동시",3400~4000,2025-09-10 05:52:41.669957
a00000007,류XX,26세~30세,남자,대전광역시 유성구,대졸(예정),2년,devops/시스템 엔지니어,GPU;PaaS;FastAPI,"대전광역시, 충청북도",면접후결정,2025-09-10 05:52:41.669957
a00000008,문XX,25세이하,여자,충청북도 음성군,고졸(예정),신입,서버/백엔드 개발자,FastAPI;AWS;JPA;Redis;PostgreSQL,"충청북도, 대전광역시",3000~3400,2025-09-10 05:52:41.669957
a00000009,조XX,26세~30세,남자,울산광역시 울주군,고졸(예정),신입,프론트엔드 개발자,HTML;GitHub;React,울산광역시,3000~3400,2025-09-10 05:52:41.669957
a00000010,전XX,26세~30세,남자,대전광역시 서구,초대졸(예정),2년,서버/백엔드 개발자,Docker;JavaScript;TypeScript;Spring Boot;Spring Framework,"충청북도, 대전광역시 서구, 대전광역시 동구",3400~4000,2025-09-10 05:52:41.669957
a00000011,하XX,26세~30세,남자,제주특별자치도 제주시,초대졸(예정),1년,정보보안 담당자,VPN;CISM;IPS,"제주특별자치도, 광주광역시",3000~3400,2025-09-10 05:52:41.669957
a00000012,최XX,26세~30세,여자,경기도 연천군,대졸(예정),1년,devops/시스템 엔지니어,Kubernetes;PaaS;GPU;Prometheus;FastAPI,"경기도 연천군, 경기도 양주시",면접후결정,2025-09-10 05:52:41.669957
a00000013,윤XX,41세~45세,남자,경기도 가평군,대졸(예정),16년,프론트엔드 개발자,HTML;TypeScript;Java;AWS;React,경기도,4000이상,2025-09-10 05:52:41.669957
a00000014,임XX,26세~30세,남자,경기도 고양시,대졸(예정),2년,정보보안 담당자,ISMS;ISMS-P;Firewall,"경기도 고양시, 서울특별시 마포구, 서울특별시 은평구",3400~4000,2025-09-10 05:52:41.669957
a00000015,고XX,31세~35세,남자,전북특별자치도 완주군,대졸(예정),1년,devops/시스템 엔지니어,AWS;PaaS;Prometheus,"전북특별자치도 완주군, 전북특별자치도 진안군, 충청남도 논산시",면접후결정,2025-09-10 05:52:41.669957
a00000016,배XX,25세이하,남자,경기도 용인시,초대졸(예정),신입,DBA,PostgreSQL;Terraform;MariaDB;AWS RDS,"경기도 용인시, 경기도 수원시",3000~3400,2025-09-10 05:52:41.669957
a00000017,임XX,26세~30세,여자,경기도 성남시,대졸(예정),2년,안드로이드 개발자,GitHub;MVVM;Android Studio,"경기도 성남시, 경기도 과천시, 경기도 안양시",3400~4000,2025-09-10 05:52:41.669957
a00000018,전XX,26세~30세,여자,경기도 고양시,대졸(예정),1년,devops/시스템 엔지니어,AWS;Docker;PaaS,"경기도 고양시, 서울특별시 서대문구, 서울특별시 마포구",면접후결정,2025-09-10 05:52:41.669957
a00000019,정XX,31세~35세,여자,전북특별자치도 군산시,대졸(예정),6년,프론트엔드 개발자,HTML;Git;Java;React;CSS,"전북특별자치도 군산시, 전북특별자치도 김제시, 전북특별자치도 부안군",4000이상,2025-09-10 05:52:41.669957
a00000020,권XX,26세~30세,여자,경기도 파주시,대졸(예정),4년,HW/임베디드,KiCAD;CAD;UART;Embedded;Bare-metal Programming,"경기도 파주시, 경기도 의정부시, 경기도 양주시",면접후결정,2025-09-10 05:52:41.669957
