job,0년차,1년차,2년차,3년차,4년차,5년차,6년차,7년차,8년차,9년차,10년차,11년차,12년차,13년차,14년차,15년차,16년차,17년차,18년차,19년차,20년차
서버/백엔드 개발자,3000~3400,3400~4000,3400~4000,3400~4000,3400~4000,3400~4000,4000이상,4000이상,4000이상,4000이상,4000이상,4000이상,4000이상,4000이상,4000이상,4000이상,4000이상,4000이상,4000이상,4000이상,4000이상
프론트엔드 개발자,3000~3400,3400~4000,3400~4000,3400~4000,3400~4000,4000이상,4000이상,4000이상,4000이상,4000이상,4000이상,4000이상,4000이상,4000이상,4000이상,4000이상,4000이상,4000이상,4000이상,4000이상,4000이상
웹 풀스택 개발자,3000~3400,3400~4000,3400~4000,3400~4000,3400~4000,4000이상,4000이상,4000이상,4000이상,4000이상,4000이상,4000이상,4000이상,4000이상,4000이상,4000이상,4000이상,4000이상,4000이상,4000이상,4000이상
안드로이드 개발자,3400~4000,3400~4000,3400~4000,3400~4000,3400~4000,4000이상,4000이상,4000이상,4000이상,4000이상,4000이상,4000이상,4000이상,4000이상,4000이상,4000이상,4000이상,4000이상,4000이상,4000이상,4000이상
iOS 개발자,3400~4000,3400~4000,3400~4000,3400~4000,3400~4000,4000이상,4000이상,4000이상,4000이상,4000이상,4000이상,4000이상,4000이상,4000이상,4000이상,4000이상,4000이상,4000이상,4000이상,4000이상,4000이상
크로스플랫폼 앱개발자,3400~4000,3400~4000,3400~4000,3400~4000,3400~4000,4000이상,4000이상,4000이상,4000이상,4000이상,4000이상,4000이상,4000이상,4000이상,4000이상,4000이상,4000이상,4000이상,4000이상,4000이상,4000이상
게임 클라이언트 개발자,3000~3400,3000~3400,3400~4000,3400~4000,3400~4000,3400~4000,3400~4000,4000이상,4000이상,4000이상,4000이상,4000이상,4000이상,4000이상,4000이상,4000이상,4000이상,4000이상,4000이상,4000이상,4000이상
게임 서버 개발자,3000~3400,3000~3400,3400~4000,3400~4000,3400~4000,3400~4000,3400~4000,4000이상,4000이상,4000이상,4000이상,4000이상,4000이상,4000이상,4000이상,4000이상,4000이상,4000이상,4000이상,4000이상,4000이상
DBA,3000~3400,3400~4000,3400~4000,3400~4000,3400~4000,4000이상,4000이상,4000이상,4000이상,4000이상,4000이상,4000이상,4000이상,4000이상,4000이상,4000이상,4000이상,4000이상,4000이상,4000이상,4000이상
빅데이터 엔지니어,3000~3400,3400~4000,3400~4000,3400~4000,3400~4000,3400~4000,4000이상,4000이상,4000이상,4000이상,4000이상,4000이상,4000이상,4000이상,4000이상,4000이상,4000이상,4000이상,4000이상,4000이상,4000이상
인공지능/머신러닝,3400~4000,3400~4000,3400~4000,3400~4000,4000이상,4000이상,4000이상,4000이상,4000이상,4000이상,4000이상,4000이상,4000이상,4000이상,4000이상,4000이상,4000이상,4000이상,4000이상,4000이상,4000이상
DevOps/시스템 엔지니어,3000~3400,3400~4000,3400~4000,3400~4000,3400~4000,3400~4000,4000이상,4000이상,4000이상,4000이상,4000이상,4000이상,4000이상,4000이상,4000이상,4000이상,4000이상,4000이상,4000이상,4000이상,4000이상
정보보안 담당자,3000~3400,3000~3400,3400~4000,3400~4000,3400~4000,3400~4000,4000이상,4000이상,4000이상,4000이상,4000이상,4000이상,4000이상,4000이상,4000이상,4000이상,4000이상,4000이상,4000이상,4000이상,4000이상
QA 엔지니어,3000~3400,3000~3400,3000~3400,3400~4000,3400~4000,3400~4000,3400~4000,4000이상,4000이상,4000이상,4000이상,4000이상,4000이상,4000이상,4000이상,4000이상,4000이상,4000이상,4000이상,4000이상,4000이상
SW/솔루션,3400~4000,3400~4000,3400~4000,3400~4000,3400~4000,4000이상,4000이상,4000이상,4000이상,4000이상,4000이상,4000이상,4000이상,4000이상,4000이상,4000이상,4000이상,4000이상,4000이상,4000이상,4000이상
웹퍼블리셔,3000~3400,3000~3400,3400~4000,3400~4000,3400~4000,3400~4000,3400~4000,4000이상,4000이상,4000이상,4000이상,4000이상,4000이상,4000이상,4000이상,4000이상,4000이상,4000이상,4000이상,4000이상,4000이상
기술지원,3000~3400,3000~3400,3400~4000,3400~4000,3400~4000,3400~4000,3400~4000,3400~4000,4000이상,4000이상,4000이상,4000이상,4000이상,4000이상,4000이상,4000이상,4000이상,4000이상,4000이상,4000이상,4000이상
개발 PM,면접후결정,면접후결정,면접후결정,면접후결정,면접후결정,면접후결정,면접후결정,면접후결정,면접후결정,면접후결정,면접후결정,면접후결정,면접후결정,면접후결정,면접후결정,면접후결정,면접후결정,면접후결정,면접후결정,면접후결정,면접후결정
HW/임베디드,면접후결정,면접후결정,면접후결정,면접후결정,면접후결정,면접후결정,면접후결정,면접후결정,면접후결정,면접후결정,면접후결정,면접후결정,면접후결정,면접후결정,면접후결정,면접후결정,면접후결정,면접후결정,면접후결정,면접후결정,면접후결정
VR/AR/3D,면접후결정,면접후결정,면접후결정,면접후결정,면접후결정,면접후결정,면접후결정,면접후결정,면접후결정,면접후결정,면접후결정,면접후결정,면접후결정,면접후결정,면접후결정,면접후결정,면접후결정,면접후결정,면접후결정,면접후결정,면접후결정
블록체인,면접후결정,면접후결정,면접후결정,면접후결정,면접후결정,면접후결정,면접후결정,면접후결정,면접후결정,면접후결정,면접후결정,면접후결정,면접후결정,면접후결정,면접후결정,면접후결정,면접후결정,면접후결정,면접후결정,면접후결정,면접후결정
