행정구역명,경제활동인구 (천명),시도명,시군구명,lat,lon,closest_sidos,closest_sigungu
서울특별시 종로구,74,서울특별시,종로구,37.5806949,126.9827989,경기도;인천광역시,서울특별시 중구;서울특별시 성북구;서울특별시 서대문구;서울특별시 동대문구;서울특별시 성동구
서울특별시 중구,74,서울특별시,중구,37.5636559,126.9975097,경기도;인천광역시,서울특별시 종로구;서울특별시 성북구;서울특별시 성동구;서울특별시 용산구;서울특별시 동대문구
서울특별시 용산구,116,서울특별시,용산구,37.5323,126.99,경기도;인천광역시,서울특별시 중구;서울특별시 동작구;서울특별시 강남구;서울특별시 성동구;서울특별시 종로구
서울특별시 성동구,154,서울특별시,성동구,37.5635,127.0365,경기도;인천광역시,서울특별시 동대문구;서울특별시 성북구;서울특별시 중구;서울특별시 광진구;서울특별시 종로구
서울특별시 광진구,206,서울특별시,광진구,37.5384,127.0828,경기도;인천광역시,서울특별시 송파구;서울특별시 강동구;서울특별시 강남구;서울특별시 성동구;서울특별시 동대문구
서울특별시 동대문구,186,서울특별시,동대문구,37.5741982,127.0395092,경기도;인천광역시,서울특별시 성동구;서울특별시 성북구;서울특별시 중구;서울특별시 종로구;서울특별시 광진구
서울특별시 중랑구,210,서울특별시,중랑구,37.6063,127.093,경기도;인천광역시,서울특별시 동대문구;서울특별시 노원구;경기도 구리시;서울특별시 성동구;서울특별시 성북구
서울특별시 성북구,227,서울특별시,성북구,37.59,127.0165,경기도;인천광역시,서울특별시 동대문구;서울특별시 종로구;서울특별시 중구;서울특별시 성동구;서울특별시 강북구
서울특별시 강북구,142,서울특별시,강북구,37.6395,127.0255,경기도;인천광역시,서울특별시 노원구;서울특별시 도봉구;서울특별시 성북구;서울특별시 중랑구;서울특별시 동대문구
서울특별시 도봉구,165,서울특별시,도봉구,37.6686,127.0466,경기도;인천광역시,서울특별시 노원구;서울특별시 강북구;경기도 의정부시;서울특별시 중랑구;서울특별시 성북구
서울특별시 노원구,254,서울특별시,노원구,37.654,127.0567,경기도;인천광역시,서울특별시 도봉구;서울특별시 강북구;서울특별시 중랑구;서울특별시 성북구;서울특별시 동대문구
서울특별시 은평구,248,서울특별시,은평구,37.6024,126.9293,경기도;인천광역시,서울특별시 서대문구;서울특별시 마포구;서울특별시 종로구;서울특별시 중구;서울특별시 성북구
서울특별시 서대문구,177,서울특별시,서대문구,37.5790747,126.9367861,경기도;인천광역시,서울특별시 은평구;서울특별시 마포구;서울특별시 종로구;서울특별시 중구;서울특별시 영등포구
서울특별시 마포구,207,서울특별시,마포구,37.566571,126.9015317,경기도;인천광역시,서울특별시 서대문구;서울특별시 영등포구;서울특별시 은평구;서울특별시 강서구;서울특별시 양천구
서울특별시 양천구,224,서울특별시,양천구,37.5171,126.8663,경기도;인천광역시,서울특별시 영등포구;서울특별시 구로구;서울특별시 강서구;경기도 광명시;서울특별시 마포구
