company_name,salary_avg,salary_min,salary_max,salary_yoy_change,salary_info_reliability,salary_2022_avg,salary_2022_min,salary_2022_max,salary_2023_avg,salary_2023_min,salary_2023_max,salary_2024_avg,salary_2024_min,salary_2024_max,salary_2022_avg_industry,salary_2023_avg_industry,salary_2024_avg_industry,starting_salary_bachelors_avg,starting_salary_bachelors_yoy_change,starting_salary_bachelors_2022_avg,starting_salary_bachelors_2023_avg,starting_salary_bachelors_2024_avg,starting_salary_bachelors_estimated_monthly_takehome,salary_staff_high_school_avg,salary_staff_high_school_min,salary_staff_high_school_max,salary_staff_associates_avg,salary_staff_associates_min,salary_staff_associates_max,salary_staff_bachelors_avg,salary_staff_bachelors_min,salary_staff_bachelors_max,salary_junior_mgr_avg,salary_junior_mgr_min,salary_junior_mgr_max,salary_deputy_mgr_avg,salary_deputy_mgr_min,salary_deputy_mgr_max,salary_section_chief_avg,salary_section_chief_min,salary_section_chief_max,salary_deputy_section_chief_avg,salary_deputy_section_chief_min,salary_deputy_section_chief_max,salary_department_head_avg,salary_department_head_min,salary_department_head_max,salary_by_age_2022_json,salary_by_age_2023_json,salary_by_age_2024_json,company_salary_url_saramin,saramin_company_salary_collection_time
(주)메디트,8099,3905,9227,3.36,"매우
높음",6869,3436,8232,7836,3685,8766,8099,3905,9227,4664,4875,5047,4356,1.35,4012,4298,4356,3054690,4187,3976,4398,4376,4216,4537,4564,4358,4771,5062,4758,5366,5932,5375,6489,7056,6485,7627,8494,7706,9281,10060,9334,10786,"{''20'': 3525, ''21'': 3525, ''22'': 3789, ''23'': 3794, ''24'': 3892, ''25'': 4043, ''26'': 4112, ''27'': 4266, ''28'': 4410, ''29'': 4564, ''30'': 4732, ''31'': 4914, ''32'': 5102, ''33'': 5303, ''34'': 5504, ''35'': 5729, ''36'': 5975, ''37'': 6248, ''38'': 6529, ''39'': 6811, ''40'': 7090, ''41'': 7376, ''42'': 7677, ''43'': 7952, ''44'': 8235, ''45'': 8558, ''46'': 8866, ''47'': 9150, ''48'': 9421, ''49'': 9674, ''50'': 9879}","{''20'': 3922, ''21'': 3922, ''22'': 3922, ''23'': 4086, ''24'': 4213, ''25'': 4312, ''26'': 4470, ''27'': 4538, ''28'': 4708, ''29'': 4871, ''30'': 5050, ''31'': 5244, ''32'': 5460, ''33'': 5680, ''34'': 5906, ''35'': 6126, ''36'': 6371, ''37'': 6639, ''38'': 6938, ''39'': 7249, ''40'': 7562, ''41'': 7866, ''42'': 8184, ''43'': 8521, ''44'': 8827, ''45'': 9129, ''46'': 9460, ''47'': 9772, ''48'': 10063, ''49'': 10335, ''50'': 10570}","{''20'': 4019, ''21'': 4019, ''22'': 4189, ''23'': 4336, ''24'': 4375, ''25'': 4457, ''26'': 4527, ''27'': 4691, ''28'': 4774, ''29'': 4965, ''30'': 5153, ''31'': 5359, ''32'': 5574, ''33'': 5811, ''34'': 6050, ''35'': 6289, ''36'': 6512, ''37'': 6754, ''38'': 7021, ''39'': 7332, ''40'': 7662, ''41'': 7999, ''42'': 8332, ''43'': 8668, ''44'': 9006, ''45'': 9297, ''46'': 9588, ''47'': 9924, ''48'': 10234, ''49'': 10520, ''50'': 10801}",https://www.saramin.co.kr/zf_user/company-info/view-inner-salary?csn=WGFNTEVDWXBpWDY5MDJEWDVuZ0VRUT09,2025-09-14 18:28:39.825481+00
(주)블루개러지,7619,3722,8258,19.2,"매우
낮음",0,0,0,6392,3248,7260,7619,3722,8258,4660,4853,5010,4402,10.99,,3966,4402,3084103,,,,,,,,,,,,,,,,,,,,,,,,,{},{},{},https://www.saramin.co.kr/zf_user/company-info/view-inner-salary?csn=ZDgyeUcwaEtza2VRZm1MUTUzTXdZZz09,2025-09-14 18:29:10.807222+00
스마트푸드네트웍스(주),6285,3571,6956,-1.5,높음,5790,3200,6686,6381,3479,6872,6285,3571,6956,4660,4853,5010,3774,0.08,3581,3771,3774,2682870,3746,3573,3918,3868,3757,3978,3980,3860,4099,4287,4104,4470,4852,4450,5255,5677,5280,6073,6680,6168,7192,7686,7161,8211,"{''20'': 3283, ''21'': 3283, ''22'': 3410, ''23'': 3483, ''24'': 3525, ''25'': 3635, ''26'': 3685, ''27'': 3801, ''28'': 3904, ''29'': 4002, ''30'': 4118, ''31'': 4257, ''32'': 4409, ''33'': 4583, ''34'': 4763, ''35'': 4947, ''36'': 5115, ''37'': 5309, ''38'': 5534, ''39'': 5778, ''40'': 6006, ''41'': 6195, ''42'': 6362, ''43'': 6505, ''44'': 6660, ''45'': 6855, ''46'': 7067, ''47'': 7292, ''48'': 7496, ''49'': 7680, ''50'': 7853}","{''20'': 3602, ''21'': 3602, ''22'': 3602, ''23'': 3774, ''24'': 3797, ''25'': 3824, ''26'': 3939, ''27'': 3990, ''28'': 4114, ''29'': 4222, ''30'': 4329, ''31'': 4457, ''32'': 4611, ''33'': 4776, ''34'': 4962, ''35'': 5148, ''36'': 5336, ''37'': 5506, ''38'': 5711, ''39'': 5952, ''40'': 6212, ''41'': 6454, ''42'': 6658, ''43'': 6842, ''44'': 7003, ''45'': 7174, ''46'': 7388, ''47'': 7619, ''48'': 7866, ''49'': 8080, ''50'': 8248}","{''20'': 3618, ''21'': 3618, ''22'': 3714, ''23'': 3891, ''24'': 3891, ''25'': 3910, ''26'': 3936, ''27'': 4056, ''28'': 4107, ''29'': 4235, ''30'': 4348, ''31'': 4459, ''32'': 4591, ''33'': 4750, ''34'': 4917, ''35'': 5106, ''36'': 5293, ''37'': 5480, ''38'': 5651, ''39'': 5858, ''40'': 6103, ''41'': 6367, ''42'': 6614, ''43'': 6822, ''44'': 7007, ''45'': 7169, ''46'': 7339, ''47'': 7553, ''48'': 7785, ''49'': 8031, ''50'': 8242}",https://www.saramin.co.kr/zf_user/company-info/view-inner-salary?csn=cDJ1Nmo1b3E2dG5XL1JTdEdaRnpvUT09,2025-09-14 18:30:19.835184+00
(주)더스윙,5696,4260,6414,-1.67,높음,4830,3743,5793,5793,4138,6423,5696,4260,6414,4893,5140,5292,4268,2.77,3755,4153,4268,2999186,4438,4235,4642,4557,4434,4679,4599,4585,4612,4599,4573,4626,4961,4554,5368,6019,5478,6559,6803,6606,7001,7194,6946,7442,"{''20'': 3840, ''21'': 3840, ''22'': 3874, ''23'': 4027, ''24'': 4027, ''25'': 4048, ''26'': 4048, ''27'': 4014, ''28'': 4027, ''29'': 4048, ''30'': 4102, ''31'': 4199, ''32'': 4339, ''33'': 4526, ''34'': 4754, ''35'': 5016, ''36'': 5281, ''37'': 5528, ''38'': 5741, ''39'': 5896, ''40'': 5980, ''41'': 6024, ''42'': 6066, ''43'': 6101, ''44'': 6154, ''45'': 6248, ''46'': 6344, ''47'': 6437, ''48'': 6534, ''49'': 6662, ''50'': 6828}","{''20'': 4253, ''21'': 4253, ''22'': 4253, ''23'': 4464, ''24'': 4464, ''25'': 4453, ''26'': 4474, ''27'': 4474, ''28'': 4445, ''29'': 4465, ''30'': 4495, ''31'': 4560, ''32'': 4678, ''33'': 4843, ''34'': 5055, ''35'': 5310, ''36'': 5599, ''37'': 5888, ''38'': 6156, ''39'': 6393, ''40'': 6573, ''41'': 6677, ''42'': 6732, ''43'': 6781, ''44'': 6820, ''45'': 6880, ''46'': 6986, ''47'': 7091, ''48'': 7197, ''49'': 7309, ''50'': 7455}","{''20'': 4293, ''21'': 4293, ''22'': 4384, ''23'': 4612, ''24'': 4612, ''25'': 4595, ''26'': 4583, ''27'': 4603, ''28'': 4603, ''29'': 4574, ''30'': 4595, ''31'': 4627, ''32'': 4694, ''33'': 4813, ''34'': 4981, ''35'': 5198, ''36'': 5457, ''37'': 5748, ''38'': 6040, ''39'': 6309, ''40'': 6541, ''41'': 6716, ''42'': 6816, ''43'': 6870, ''44'': 6920, ''45'': 6960, ''46'': 7023, ''47'': 7130, ''48'': 7240, ''49'': 7349, ''50'': 7466}",https://www.saramin.co.kr/zf_user/company-info/view-inner-salary?csn=NlB3L3FmcGZvdnVMUHQwYnh4MDVVZz09,2025-09-14 18:32:07.583915+00
스패로우,6338,3384,7740,9.54,보통,5502,3145,7032,5786,3189,7375,6338,3384,7740,4893,5140,5292,3885,4.75,3624,3709,3885,2755350,3629,3443,3814,3810,3641,3979,4011,3783,4240,4485,4220,4750,5261,4768,5754,6182,5738,6626,7358,6702,8014,8579,8043,9116,"{''20'': 3226, ''21'': 3226, ''22'': 3386, ''23'': 3438, ''24'': 3504, ''25'': 3642, ''26'': 3717, ''27'': 3856, ''28'': 4005, ''29'': 4167, ''30'': 4338, ''31'': 4518, ''32'': 4699, ''33'': 4882, ''34'': 5046, ''35'': 5219, ''36'': 5407, ''37'': 5632, ''38'': 5873, ''39'': 6121, ''40'': 6386, ''41'': 6653, ''42'': 6890, ''43'': 7095, ''44'': 7301, ''45'': 7527, ''46'': 7739, ''47'': 7938, ''48'': 8102, ''49'': 8255, ''50'': 8410}","{''20'': 3377, ''21'': 3377, ''22'': 3377, ''23'': 3522, ''24'': 3615, ''25'': 3700, ''26'': 3849, ''27'': 3927, ''28'': 4074, ''29'': 4232, ''30'': 4405, ''31'': 4590, ''32'': 4788, ''33'': 4990, ''34'': 5191, ''35'': 5368, ''36'': 5550, ''37'': 5746, ''38'': 5980, ''39'': 6229, ''40'': 6490, ''41'': 6770, ''42'': 7048, ''43'': 7293, ''44'': 7502, ''45'': 7715, ''46'': 7942, ''47'': 8150, ''48'': 8342, ''49'': 8506, ''50'': 8672}","{''20'': 3482, ''21'': 3482, ''22'': 3628, ''23'': 3756, ''24'': 3797, ''25'': 3888, ''26'': 3984, ''27'': 4152, ''28'': 4238, ''29'': 4395, ''30'': 4562, ''31'': 4747, ''32'': 4945, ''33'': 5159, ''34'': 5372, ''35'': 5582, ''36'': 5764, ''37'': 5948, ''38'': 6148, ''39'': 6393, ''40'': 6659, ''41'': 6937, ''42'': 7233, ''43'': 7527, ''44'': 7787, ''45'': 8008, ''46'': 8233, ''47'': 8480, ''48'': 8716, ''49'': 8933, ''50'': 9109}",https://www.saramin.co.kr/zf_user/company-info/view-inner-salary?csn=c21SN1FkbkJHU3VCQzVRU2ZPakpmZz09,2025-09-14 18:33:21.887602+00
(주)소프트넷,7637,3817,8965,6.57,높음,6543,3357,7807,7166,3621,8267,7637,3817,8965,4893,5140,5292,4234,2.25,3974,4141,4234,2976353,4039,3844,4233,4209,4052,4366,4413,4168,4658,5045,4662,5429,6038,5469,6606,7100,6591,7610,8237,7692,8782,9503,8775,10231,"{''20'': 3444, ''21'': 3444, ''22'': 3630, ''23'': 3676, ''24'': 3752, ''25'': 3910, ''26'': 4021, ''27'': 4214, ''28'': 4410, ''29'': 4615, ''30'': 4835, ''31'': 5053, ''32'': 5249, ''33'': 5435, ''34'': 5615, ''35'': 5816, ''36'': 6026, ''37'': 6260, ''38'': 6514, ''39'': 6751, ''40'': 6957, ''41'': 7142, ''42'': 7327, ''43'': 7503, ''44'': 7720, ''45'': 7990, ''46'': 8266, ''47'': 8552, ''48'': 8827, ''49'': 9080, ''50'': 9298}","{''20'': 3793, ''21'': 3793, ''22'': 3793, ''23'': 3964, ''24'': 4029, ''25'': 4092, ''26'': 4255, ''27'': 4368, ''28'': 4583, ''29'': 4798, ''30'': 5027, ''31'': 5266, ''32'': 5506, ''33'': 5714, ''34'': 5910, ''35'': 6100, ''36'': 6313, ''37'': 6537, ''38'': 6793, ''39'': 7067, ''40'': 7326, ''41'': 7552, ''42'': 7763, ''43'': 7981, ''44'': 8182, ''45'': 8416, ''46'': 8707, ''47'': 9005, ''48'': 9314, ''49'': 9604, ''50'': 9852}","{''20'': 3890, ''21'': 3890, ''22'': 4017, ''23'': 4189, ''24'': 4210, ''25'': 4275, ''26'': 4355, ''27'': 4546, ''28'': 4681, ''29'': 4922, ''30'': 5162, ''31'': 5418, ''32'': 5684, ''33'': 5947, ''34'': 6178, ''35'': 6395, ''36'': 6606, ''37'': 6838, ''38'': 7076, ''39'': 7346, ''40'': 7637, ''41'': 7911, ''42'': 8146, ''43'': 8363, ''44'': 8582, ''45'': 8785, ''46'': 9028, ''47'': 9323, ''48'': 9631, ''49'': 9960, ''50'': 10293}",https://www.saramin.co.kr/zf_user/company-info/view-inner-salary?csn=ejIweFVmVG5ZSDlyTDJRNTArcVg4UT09,2025-09-14 18:34:29.477686+00
(주)데이터메이커,4895,2922,7342,22.99,낮음,4508,2721,6270,3980,2591,6068,4895,2922,7342,4743,4938,5107,3396,8.6,3269,3127,3396,2442090,3172,3003,3341,3340,3192,3488,3514,3319,3708,3910,3684,4136,4556,4124,4988,5502,5023,5981,6499,6064,6933,7373,6904,7841,"{''20'': 2791, ''21'': 2791, ''22'': 3063, ''23'': 3063, ''24'': 3144, ''25'': 3294, ''26'': 3361, ''27'': 3481, ''28'': 3609, ''29'': 3749, ''30'': 3887, ''31'': 4034, ''32'': 4207, ''33'': 4397, ''34'': 4560, ''35'': 4726, ''36'': 4922, ''37'': 5160, ''38'': 5413, ''39'': 5629, ''40'': 5811, ''41'': 5967, ''42'': 6112, ''43'': 6227, ''44'': 6367, ''45'': 6544, ''46'': 6706, ''47'': 6867, ''48'': 7012, ''49'': 7145, ''50'': 7326}","{''20'': 2782, ''21'': 2782, ''22'': 2782, ''23'': 2893, ''24'': 3007, ''25'': 3105, ''26'': 3244, ''27'': 3306, ''28'': 3424, ''29'': 3549, ''30'': 3685, ''31'': 3815, ''32'': 3949, ''33'': 4097, ''34'': 4267, ''35'': 4430, ''36'': 4621, ''37'': 4829, ''38'': 5078, ''39'': 5333, ''40'': 5535, ''41'': 5684, ''42'': 5816, ''43'': 5943, ''44'': 6040, ''45'': 6155, ''46'': 6302, ''47'': 6427, ''48'': 6546, ''49'': 6665, ''50'': 6816}","{''20'': 3034, ''21'': 3034, ''22'': 3190, ''23'': 3279, ''24'': 3324, ''25'': 3414, ''26'': 3495, ''27'': 3638, ''28'': 3700, ''29'': 3832, ''30'': 3976, ''31'': 4133, ''32'': 4285, ''33'': 4442, ''34'': 4619, ''35'': 4827, ''36'': 5033, ''37'': 5259, ''38'': 5481, ''39'': 5735, ''40'': 6004, ''41'': 6240, ''42'': 6442, ''43'': 6616, ''44'': 6781, ''45'': 6911, ''46'': 7069, ''47'': 7267, ''48'': 7447, ''49'': 7646, ''50'': 7898}",https://www.saramin.co.kr/zf_user/company-info/view-inner-salary?csn=TXV0OVBGdXZhZkVpZUw2OUFYeGdTdz09,2025-09-14 18:35:43.156486+00
(주)쓰리아이,6810,3527,8078,-4.18,높음,6262,3438,7509,7107,3645,8082,6810,3527,8078,4893,5140,5292,4087,-1.8,3904,4162,4087,2882353,3834,3627,4040,4037,3860,4215,4242,4017,4466,4710,4451,4969,5410,4977,5843,6229,5844,6615,7233,6648,7818,8676,7887,9466,"{''20'': 3527, ''21'': 3527, ''22'': 3668, ''23'': 3745, ''24'': 3795, ''25'': 3924, ''26'': 3996, ''27'': 4140, ''28'': 4280, ''29'': 4414, ''30'': 4565, ''31'': 4732, ''32'': 4899, ''33'': 5070, ''34'': 5229, ''35'': 5391, ''36'': 5556, ''37'': 5750, ''38'': 5952, ''39'': 6166, ''40'': 6386, ''41'': 6608, ''42'': 6827, ''43'': 7045, ''44'': 7313, ''45'': 7660, ''46'': 8003, ''47'': 8302, ''48'': 8513, ''49'': 8700, ''50'': 8897}","{''20'': 3870, ''21'': 3870, ''22'': 3870, ''23'': 4033, ''24'': 4143, ''25'': 4223, ''26'': 4359, ''27'': 4416, ''28'': 4566, ''29'': 4724, ''30'': 4882, ''31'': 5051, ''32'': 5233, ''33'': 5412, ''34'': 5593, ''35'': 5763, ''36'': 5944, ''37'': 6133, ''38'': 6346, ''39'': 6567, ''40'': 6803, ''41'': 7048, ''42'': 7300, ''43'': 7553, ''44'': 7800, ''45'': 8094, ''46'': 8470, ''47'': 8838, ''48'': 9162, ''49'': 9394, ''50'': 9591}","{''20'': 3665, ''21'': 3665, ''22'': 3857, ''23'': 3962, ''24'': 4021, ''25'': 4129, ''26'': 4220, ''27'': 4379, ''28'': 4461, ''29'': 4629, ''30'': 4794, ''31'': 4958, ''32'': 5133, ''33'': 5321, ''34'': 5505, ''35'': 5690, ''36'': 5855, ''37'': 6030, ''38'': 6212, ''39'': 6420, ''40'': 6632, ''41'': 6859, ''42'': 7103, ''43'': 7355, ''44'': 7604, ''45'': 7847, ''46'': 8144, ''47'': 8525, ''48'': 8894, ''49'': 9212, ''50'': 9438}",https://www.saramin.co.kr/zf_user/company-info/view-inner-salary?csn=RitaRWg5OS8xYWJRdnlFaU9Zc09lQT09,2025-09-14 18:36:48.353211+00
(주)크리스틴컴퍼니,5730,3142,6569,24.7,보통,4455,2782,5918,4595,2850,5873,5730,3142,6569,4664,4875,5047,3572,9.5,3241,3262,3572,2555166,3409,3229,3588,3571,3442,3699,3729,3552,3906,4141,3909,4373,4861,4330,5391,6204,5441,6966,7261,7057,7465,7640,7399,7880,"{''20'': 2854, ''21'': 2854, ''22'': 3012, ''23'': 3048, ''24'': 3108, ''25'': 3228, ''26'': 3296, ''27'': 3429, ''28'': 3551, ''29'': 3665, ''30'': 3804, ''31'': 3972, ''32'': 4166, ''33'': 4382, ''34'': 4614, ''35'': 4897, ''36'': 5222, ''37'': 5545, ''38'': 5779, ''39'': 5913, ''40'': 5966, ''41'': 5996, ''42'': 6033, ''43'': 6065, ''44'': 6118, ''45'': 6211, ''46'': 6304, ''47'': 6392, ''48'': 6476, ''49'': 6579, ''50'': 6722}","{''20'': 3000, ''21'': 3000, ''22'': 3000, ''23'': 3132, ''24'': 3199, ''25'': 3260, ''26'': 3384, ''27'': 3452, ''28'': 3588, ''29'': 3713, ''30'': 3831, ''31'': 3972, ''32'': 4145, ''33'': 4344, ''34'': 4565, ''35'': 4803, ''36'': 5093, ''37'': 5427, ''38'': 5763, ''39'': 6004, ''40'': 6145, ''41'': 6199, ''42'': 6232, ''43'': 6271, ''44'': 6304, ''45'': 6360, ''46'': 6455, ''47'': 6550, ''48'': 6639, ''49'': 6724, ''50'': 6831}","{''20'': 3262, ''21'': 3262, ''22'': 3429, ''23'': 3525, ''24'': 3567, ''25'': 3640, ''26'': 3694, ''27'': 3831, ''28'': 3914, ''29'': 4073, ''30'': 4221, ''31'': 4359, ''32'': 4518, ''33'': 4711, ''34'': 4934, ''35'': 5187, ''36'': 5459, ''37'': 5791, ''38'': 6185, ''39'': 6614, ''40'': 6971, ''41'': 7202, ''42'': 7287, ''43'': 7329, ''44'': 7372, ''45'': 7408, ''46'': 7470, ''47'': 7582, ''48'': 7693, ''49'': 7798, ''50'': 7891}",https://www.saramin.co.kr/zf_user/company-info/view-inner-salary?csn=RThTMS9yNTV6b1BqU1JNWXMyUjNFQT09,2025-09-14 18:38:02.057051+00
(주)리비바이오,4165,2703,5676,3.5,낮음,4152,2698,5768,4024,2703,5800,4165,2703,5676,4893,5140,5292,3235,2.02,3213,3171,3235,2339903,2985,2814,3156,3163,3008,3319,3341,3143,3538,3726,3509,3943,4365,3982,4748,5045,4686,5403,5778,5461,6095,6446,6132,6760,"{''20'': 2768, ''21'': 2768, ''22'': 3016, ''23'': 3016, ''24'': 3094, ''25'': 3227, ''26'': 3285, ''27'': 3410, ''28'': 3540, ''29'': 3685, ''30'': 3859, ''31'': 4043, ''32'': 4210, ''33'': 4338, ''34'': 4444, ''35'': 4561, ''36'': 4709, ''37'': 4912, ''38'': 5118, ''39'': 5266, ''40'': 5366, ''41'': 5473, ''42'': 5612, ''43'': 5746, ''44'': 5876, ''45'': 6020, ''46'': 6162, ''47'': 6314, ''48'': 6471, ''49'': 6620, ''50'': 6748}","{''20'': 2864, ''21'': 2864, ''22'': 2864, ''23'': 2987, ''24'': 3075, ''25'': 3158, ''26'': 3294, ''27'': 3357, ''28'': 3487, ''29'': 3624, ''30'': 3771, ''31'': 3948, ''32'': 4135, ''33'': 4302, ''34'': 4430, ''35'': 4536, ''36'': 4653, ''37'': 4803, ''38'': 5009, ''39'': 5217, ''40'': 5366, ''41'': 5465, ''42'': 5574, ''43'': 5717, ''44'': 5853, ''45'': 5982, ''46'': 6124, ''47'': 6262, ''48'': 6411, ''49'': 6571, ''50'': 6735}","{''20'': 2843, ''21'': 2843, ''22'': 3024, ''23'': 3080, ''24'': 3139, ''25'': 3246, ''26'': 3330, ''27'': 3467, ''28'': 3524, ''29'': 3652, ''30'': 3791, ''31'': 3940, ''32'': 4120, ''33'': 4312, ''34'': 4483, ''35'': 4614, ''36'': 4725, ''37'': 4844, ''38'': 5001, ''39'': 5217, ''40'': 5438, ''41'': 5601, ''42'': 5711, ''43'': 5828, ''44'': 5975, ''45'': 6118, ''46'': 6246, ''47'': 6385, ''48'': 6513, ''49'': 6644, ''50'': 6772}",https://www.saramin.co.kr/zf_user/company-info/view-inner-salary?csn=TXA5S2FvNk9odENrRGpBeUdGNnBlQT09,2025-09-14 18:38:58.951087+00
