posting_tech_stack_one,job_category_kor_one,require_experience_single_year,exp_min,exp_max,require_experience_role,require_experience_band_kr,posting_start_month_key,posting_start_date_key,posting_count_s,posting_share_s
Infra,기술지원,12,10,20,과장,10년+,2025-08,2025-08-11,1,1
ReactQuery,프론트엔드 개발자,6,5,10,대리,5-10년,2025-08,2025-08-11,1,1
MCU,HW/임베디드,8,6,15,과장,5-10년,2025-08,2025-08-13,1,1
Slack,인공지능/머신러닝,6,5,10,대리,5-10년,2025-08,2025-08-13,1,1
AWS,HW/임베디드,0,0,0,신입,신입,2025-08,2025-08-15,1,1
Kubernetes,웹 풀스택 개발자,3,1,10,사원,1-3년,2025-08,2025-08-19,1,0.3333333333333333
Photon,게임 클라이언트 개발자,7,5,15,과장,5-10년,2025-08,2025-08-18,1,0.5
Python,SW/솔루션,12,10,20,과장,10년+,2025-08,2025-08-18,1,0.5
Python,DevOps/시스템 엔지니어,3,1,10,사원,1-3년,2025-08,2025-08-20,1,1
Python,SW/솔루션,5,3,10,대리,3-5년,2025-08,2025-08-20,1,1
SpringFramework,SW/솔루션,5,3,15,대리,3-5년,2025-08,2025-08-20,1,0.5
Django,서버/백엔드 개발자,7,6,10,과장,5-10년,2025-08,2025-08-22,1,1
Linux,SW/솔루션,6,5,10,대리,5-10년,2025-08,2025-08-22,1,1
Transformers,인공지능/머신러닝,5,3,10,대리,3-5년,2025-08,2025-08-21,1,1
Recoil,iOS 개발자,7,5,15,과장,5-10년,2025-08,2025-08-24,1,0.5
CSS3,웹퍼블리셔,0,0,0,신입,신입,2025-09,2025-09-01,1,1
VisualStudioCode,크로스플랫폼 앱개발자,7,5,20,과장,5-10년,2025-08,2025-08-25,2,2
HW,HW/임베디드,4,3,7,대리,3-5년,2025-08,2025-08-22,1,1
jQuery,인공지능/머신러닝,2,1,3,사원,1-3년,2025-08,2025-08-27,1,1
JavaScript,프론트엔드 개발자,6,5,10,대리,5-10년,2025-08,2025-08-27,1,1
Embedded,SW/솔루션,3,2,4,사원,1-3년,2025-08,2025-08-27,1,1
C#,SW/솔루션,14,13,15,차장,10년+,2025-09,2025-09-02,1,0.5
AngularJS,프론트엔드 개발자,6,5,10,대리,5-10년,2025-09,2025-09-01,1,1
Network,기술지원,6,5,10,대리,5-10년,2025-08,2025-08-29,1,1
WhatsApp,기술지원,4,3,5,대리,3-5년,2025-08,2025-08-29,1,1
Shopify,프론트엔드 개발자,5,4,6,대리,3-5년,2025-08,2025-08-29,1,1
CloudFlare,DevOps/시스템 엔지니어,4,3,5,대리,3-5년,2025-09,2025-09-01,1,0.5
C,SW/솔루션,3,1,10,사원,1-3년,2025-09,2025-09-03,4,1.5
SW,SW/솔루션,10,9,11,과장,5-10년,2025-09,2025-09-04,1,1
Python,서버/백엔드 개발자,0,0,0,신입,신입,2025-09,2025-09-04,1,0.5
Yocto,HW/임베디드,0,0,0,신입,신입,2025-09,2025-09-05,1,1
AZURE,인공지능/머신러닝,5,3,10,대리,3-5년,2025-08,2025-08-13,1,0.25
TensorFlow,인공지능/머신러닝,0,0,0,신입,신입,2025-08,2025-08-12,1,0.3333333333333333
RESTAPI,빅데이터 엔지니어,7,5,20,과장,5-10년,2025-08,2025-08-12,1,1
RESTAPI,서버/백엔드 개발자,6,5,10,대리,5-10년,2025-08,2025-08-13,1,1
AWS,서버/백엔드 개발자,4,2,10,대리,3-5년,2025-08,2025-08-15,1,1
Jasmine,프론트엔드 개발자,4,2,10,대리,3-5년,2025-08,2025-08-18,1,1
Grafana,DevOps/시스템 엔지니어,7,5,18,과장,5-10년,2025-08,2025-08-14,2,1
GitLab,프론트엔드 개발자,5,4,8,대리,3-5년,2025-08,2025-08-16,1,1
C,SW/솔루션,0,0,0,신입,신입,2025-08,2025-08-14,1,1
PostgreSQL,서버/백엔드 개발자,6,4,10,대리,5-10년,2025-08,2025-08-18,1,0.5
MySQL,서버/백엔드 개발자,8,6,12,과장,5-10년,2025-08,2025-08-19,1,1
GitHub,HW/임베디드,5,3,10,대리,3-5년,2025-08,2025-08-19,1,1
TCP/IP,DevOps/시스템 엔지니어,11,10,15,과장,10년+,2025-08,2025-08-22,1,0.5
React,서버/백엔드 개발자,7,5,12,과장,5-10년,2025-08,2025-08-21,1,1
Ansible,인공지능/머신러닝,4,2,10,대리,3-5년,2025-08,2025-08-22,1,0.5
MySQL,DBA,7,5,15,과장,5-10년,2025-08,2025-08-23,1,1
Node.js,서버/백엔드 개발자,8,7,8,과장,5-10년,2025-08,2025-08-27,1,1
JSP,SW/솔루션,6,4,10,대리,5-10년,2025-08,2025-08-29,1,1
DjangoRESTframework,서버/백엔드 개발자,4,3,7,대리,3-5년,2025-09,2025-09-01,1,0.5
Node.js,서버/백엔드 개발자,4,3,7,대리,3-5년,2025-09,2025-09-01,1,0.5
TypeScript,프론트엔드 개발자,8,6,9,과장,5-10년,2025-08,2025-08-29,2,2
jQuery,프론트엔드 개발자,5,4,6,대리,3-5년,2025-08,2025-08-29,1,1
C++,인공지능/머신러닝,5,4,6,대리,3-5년,2025-08,2025-08-30,1,1
C++,HW/임베디드,2,1,3,사원,1-3년,2025-09,2025-09-03,1,1
Vertica,DBA,3,1,10,사원,1-3년,2025-09,2025-09-01,1,1
AWS,DevOps/시스템 엔지니어,5,3,15,대리,3-5년,2025-09,2025-09-01,1,1
HW,HW/임베디드,10,9,11,과장,5-10년,2025-08,2025-08-29,1,1
ISMS,DevOps/시스템 엔지니어,4,3,5,대리,3-5년,2025-09,2025-09-01,1,0.5
AWS,DevOps/시스템 엔지니어,11,9,15,과장,10년+,2025-09,2025-09-01,1,1
JSP,프론트엔드 개발자,5,3,15,대리,3-5년,2025-09,2025-09-02,1,1
Jenkins,DBA,4,3,8,대리,3-5년,2025-09,2025-09-02,1,1
Kubeflow,DevOps/시스템 엔지니어,9,7,10,과장,5-10년,2025-09,2025-09-03,1,0.5
XML,안드로이드 개발자,5,3,10,대리,3-5년,2025-09,2025-09-06,1,1
GraphQL,서버/백엔드 개발자,5,3,10,대리,3-5년,2025-09,2025-09-08,1,1
AmazonS3,DevOps/시스템 엔지니어,11,10,12,과장,10년+,2025-09,2025-09-08,1,1
Windows,SW/솔루션,4,2,5,대리,3-5년,2025-08,2025-08-13,1,1
RTOS,SW/솔루션,3,1,7,사원,1-3년,2025-08,2025-08-11,1,1
DeepLearning,SW/솔루션,0,0,0,신입,신입,2025-08,2025-08-11,1,0.5
C,SW/솔루션,6,4,15,대리,5-10년,2025-08,2025-08-13,1,1
SpringBoot,웹 풀스택 개발자,11,10,15,과장,10년+,2025-08,2025-08-15,1,0.5
OpenCV,서버/백엔드 개발자,4,3,5,대리,3-5년,2025-08,2025-08-18,1,1
TensorFlow,인공지능/머신러닝,5,3,10,대리,3-5년,2025-08,2025-08-20,1,0.5
Docker,인공지능/머신러닝,5,3,10,대리,3-5년,2025-08,2025-08-20,1,0.5
C#,웹 풀스택 개발자,7,5,20,과장,5-10년,2025-08,2025-08-19,1,0.3333333333333333
HTML5,DevOps/시스템 엔지니어,6,5,10,대리,5-10년,2025-08,2025-08-22,2,2
Git,인공지능/머신러닝,5,3,10,대리,3-5년,2025-08,2025-08-22,1,1
TensorFlow,인공지능/머신러닝,3,1,10,사원,1-3년,2025-08,2025-08-25,1,1
Queue,빅데이터 엔지니어,9,7,20,과장,5-10년,2025-08,2025-08-27,1,1
JavaScript,서버/백엔드 개발자,5,4,6,대리,3-5년,2025-08,2025-08-27,1,1
HTML5,프론트엔드 개발자,3,1,8,사원,1-3년,2025-08,2025-08-28,1,1
Babel,프론트엔드 개발자,6,5,10,대리,5-10년,2025-09,2025-09-01,1,1
Slack,개발 PM,9,7,10,과장,5-10년,2025-08,2025-08-31,1,0.5
SW,QA 엔지니어,7,6,10,과장,5-10년,2025-09,2025-09-04,1,1
Mfc,SW/솔루션,6,5,9,대리,5-10년,2025-09,2025-09-02,1,1
OraclePL/SQL,SW/솔루션,14,12,20,차장,10년+,2025-09,2025-09-01,2,2
GCP,서버/백엔드 개발자,2,1,3,사원,1-3년,2025-09,2025-09-01,1,1
Pads,HW/임베디드,4,2,5,대리,3-5년,2025-09,2025-09-02,1,1
C#,SW/솔루션,2,1,3,사원,1-3년,2025-09,2025-09-03,1,1
PostgreSQL,서버/백엔드 개발자,5,3,20,대리,3-5년,2025-09,2025-09-04,1,1
Kubernetes,DevOps/시스템 엔지니어,5,3,20,대리,3-5년,2025-09,2025-09-04,1,1
RTOS,블록체인,11,10,14,과장,10년+,2025-09,2025-09-08,1,0.5
Verilog,HW/임베디드,17,16,20,부장,10년+,2025-09,2025-09-08,1,1
C#,SW/솔루션,0,0,0,신입,신입,2025-09,2025-09-08,1,1
Node.js,서버/백엔드 개발자,7,5,8,과장,5-10년,2025-09,2025-09-09,1,1
AWSLambda,서버/백엔드 개발자,4,3,7,대리,3-5년,2025-08,2025-08-11,1,1
Linux,SW/솔루션,2,1,5,사원,1-3년,2025-08,2025-08-12,1,1
JavaScript,기술지원,8,7,9,과장,5-10년,2025-08,2025-08-12,1,1
Java,개발 PM,11,10,15,과장,10년+,2025-08,2025-08-19,1,0.5
Elasticsearch,웹 풀스택 개발자,5,3,10,대리,3-5년,2025-08,2025-08-19,1,0.5
TCP/IP,게임 클라이언트 개발자,7,5,15,과장,5-10년,2025-08,2025-08-18,1,0.5
C++,DevOps/시스템 엔지니어,6,4,7,대리,5-10년,2025-08,2025-08-18,1,1
RESTAPI,서버/백엔드 개발자,2,1,3,사원,1-3년,2025-08,2025-08-28,1,1
Python,SW/솔루션,4,2,15,대리,3-5년,2025-08,2025-08-19,1,0.5
Selenium,SW/솔루션,7,5,20,과장,5-10년,2025-08,2025-08-21,1,1
Python,SW/솔루션,4,3,8,대리,3-5년,2025-08,2025-08-22,4,4
Flutter,크로스플랫폼 앱개발자,7,5,20,과장,5-10년,2025-08,2025-08-25,2,2
AZURE,DevOps/시스템 엔지니어,3,1,18,사원,1-3년,2025-08,2025-08-25,1,1
C++,HW/임베디드,5,3,10,대리,3-5년,2025-08,2025-08-25,1,0.5
AWS,SW/솔루션,4,3,7,대리,3-5년,2025-08,2025-08-25,1,1
AWS,빅데이터 엔지니어,12,11,15,과장,10년+,2025-08,2025-08-26,1,1
C,서버/백엔드 개발자,4,2,10,대리,3-5년,2025-08,2025-08-26,1,1
CISSP,정보보안 담당자,4,2,10,대리,3-5년,2025-08,2025-08-27,1,1
Python,빅데이터 엔지니어,9,7,20,과장,5-10년,2025-08,2025-08-27,1,1
MySQL,서버/백엔드 개발자,4,2,5,대리,3-5년,2025-09,2025-09-01,1,1
OpenCV,프론트엔드 개발자,5,3,20,대리,3-5년,2025-09,2025-09-01,1,1
Mybatis,서버/백엔드 개발자,9,8,12,과장,5-10년,2025-08,2025-08-30,1,0.5
Firewall,기술지원,6,5,10,대리,5-10년,2025-09,2025-09-01,1,0.5
Framer,서버/백엔드 개발자,10,8,15,과장,5-10년,2025-09,2025-09-01,1,1
ISMS,DevOps/시스템 엔지니어,11,9,15,과장,10년+,2025-09,2025-09-01,2,1.5
Python,DevOps/시스템 엔지니어,6,5,10,대리,5-10년,2025-09,2025-09-04,1,1
PCB,HW/임베디드,5,3,10,대리,3-5년,2025-09,2025-09-06,1,1
SW,HW/임베디드,11,9,12,과장,10년+,2025-09,2025-09-08,1,0.5
C++,HW/임베디드,0,0,0,신입,신입,2025-08,2025-08-14,1,1
RESTAPI,인공지능/머신러닝,5,3,15,대리,3-5년,2025-08,2025-08-11,1,1
AWS,SW/솔루션,5,3,10,대리,3-5년,2025-08,2025-08-16,1,0.25
Django,프론트엔드 개발자,5,3,13,대리,3-5년,2025-08,2025-08-16,1,1
AI/인공지능,SW/솔루션,0,0,0,신입,신입,2025-08,2025-08-16,1,0.5
Flutter,크로스플랫폼 앱개발자,5,3,6,대리,3-5년,2025-08,2025-08-16,1,1
HTML5,기술지원,0,0,0,신입,신입,2025-08,2025-08-18,1,0.3333333333333333
Redis,서버/백엔드 개발자,2,1,3,사원,1-3년,2025-08,2025-08-28,1,1
Java,서버/백엔드 개발자,2,1,3,사원,1-3년,2025-08,2025-08-28,1,1
Django,서버/백엔드 개발자,5,3,20,대리,3-5년,2025-08,2025-08-19,1,1
MES,DevOps/시스템 엔지니어,7,6,8,과장,5-10년,2025-08,2025-08-19,1,1
Oracle,서버/백엔드 개발자,7,5,15,과장,5-10년,2025-08,2025-08-20,1,1
Python,기술지원,3,2,7,사원,1-3년,2025-08,2025-08-20,1,1
TensorFlow,SW/솔루션,3,2,7,사원,1-3년,2025-08,2025-08-20,1,0.5
Neo4j,인공지능/머신러닝,5,3,10,대리,3-5년,2025-08,2025-08-22,1,1
Pandas,빅데이터 엔지니어,2,1,5,사원,1-3년,2025-08,2025-08-26,1,1
CitrixGateway,DevOps/시스템 엔지니어,2,1,2,사원,1-3년,2025-08,2025-08-30,1,1
SpringBoot,서버/백엔드 개발자,11,10,14,과장,10년+,2025-09,2025-09-02,1,1
Kafka,서버/백엔드 개발자,4,3,5,대리,3-5년,2025-09,2025-09-01,1,1
MariaDB,서버/백엔드 개발자,5,3,15,대리,3-5년,2025-09,2025-09-02,1,1
WPF,SW/솔루션,0,0,0,신입,신입,2025-09,2025-09-03,1,1
Vue.js,서버/백엔드 개발자,0,0,0,신입,신입,2025-09,2025-09-04,1,0.5
Node.js,프론트엔드 개발자,5,3,10,대리,3-5년,2025-09,2025-09-06,1,0.5
R,빅데이터 엔지니어,9,7,10,과장,5-10년,2025-09,2025-09-04,1,0.5
Python,SW/솔루션,5,3,15,대리,3-5년,2025-09,2025-09-07,1,1
MATLAB,HW/임베디드,7,6,10,과장,5-10년,2025-09,2025-09-08,1,1
Yocto,HW/임베디드,3,1,8,사원,1-3년,2025-09,2025-09-05,1,1
Jira,서버/백엔드 개발자,9,7,15,과장,5-10년,2025-09,2025-09-08,1,1
SpringBoot,서버/백엔드 개발자,4,3,5,대리,3-5년,2025-09,2025-09-09,1,0.3333333333333333
GitHub,인공지능/머신러닝,5,3,10,대리,3-5년,2025-08,2025-08-13,1,0.25
C++,HW/임베디드,3,1,20,사원,1-3년,2025-08,2025-08-19,1,0.5
Windows,DevOps/시스템 엔지니어,5,3,15,대리,3-5년,2025-08,2025-08-11,1,1
Notion,서버/백엔드 개발자,9,7,10,과장,5-10년,2025-08,2025-08-11,1,1
VisualStudio,SW/솔루션,5,3,10,대리,3-5년,2025-08,2025-08-11,1,1
C++,SW/솔루션,5,3,15,대리,3-5년,2025-08,2025-08-11,2,2
Keras,인공지능/머신러닝,6,5,10,대리,5-10년,2025-08,2025-08-16,1,1
AngularJS,프론트엔드 개발자,5,4,8,대리,3-5년,2025-08,2025-08-16,1,1
C++,SW/솔루션,3,2,7,사원,1-3년,2025-08,2025-08-16,1,1
Git,프론트엔드 개발자,5,3,10,대리,3-5년,2025-08,2025-08-19,1,1
PCB,HW/임베디드,4,3,5,대리,3-5년,2025-08,2025-08-18,1,1
HTML5,기술지원,2,1,5,사원,1-3년,2025-08,2025-08-18,1,0.3333333333333333
InfluxDB,서버/백엔드 개발자,4,3,5,대리,3-5년,2025-08,2025-08-18,1,1
Router,프론트엔드 개발자,4,3,5,대리,3-5년,2025-08,2025-08-18,1,1
NestJS,서버/백엔드 개발자,4,2,10,대리,3-5년,2025-08,2025-08-22,1,1
Python,QA 엔지니어,7,6,10,과장,5-10년,2025-08,2025-08-22,1,1
React,크로스플랫폼 앱개발자,3,2,3,사원,1-3년,2025-09,2025-09-01,1,1
C++,HW/임베디드,11,10,15,과장,10년+,2025-08,2025-08-27,1,1
Angular2,프론트엔드 개발자,6,5,10,대리,5-10년,2025-08,2025-08-27,1,1
Figma,프론트엔드 개발자,14,13,15,차장,10년+,2025-08,2025-08-28,1,1
AZURE,서버/백엔드 개발자,4,2,5,대리,3-5년,2025-09,2025-09-01,1,1
Solidworks,HW/임베디드,5,3,10,대리,3-5년,2025-08,2025-08-30,1,1
Docker,SW/솔루션,0,0,0,신입,신입,2025-09,2025-09-03,2,1.25
Notion,서버/백엔드 개발자,3,2,4,사원,1-3년,2025-09,2025-09-06,1,1
MongoDB,서버/백엔드 개발자,5,3,6,대리,3-5년,2025-09,2025-09-01,1,1
NginxProxyManager,서버/백엔드 개발자,5,3,15,대리,3-5년,2025-09,2025-09-01,1,1
C++,DevOps/시스템 엔지니어,7,5,8,과장,5-10년,2025-09,2025-09-03,2,1
RTOS,블록체인,16,15,20,부장,10년+,2025-09,2025-09-08,1,0.5
Java,프론트엔드 개발자,6,5,10,대리,5-10년,2025-09,2025-09-07,1,1
Python,SW/솔루션,2,1,3,사원,1-3년,2025-09,2025-09-07,1,0.5
SQL,서버/백엔드 개발자,5,3,10,대리,3-5년,2025-09,2025-09-08,1,1
C++,SW/솔루션,6,5,7,대리,5-10년,2025-09,2025-09-08,1,1
CSS3,프론트엔드 개발자,5,3,20,대리,3-5년,2025-08,2025-08-11,1,1
AZURE,인공지능/머신러닝,12,11,15,과장,10년+,2025-08,2025-08-13,1,0.5
Keras,인공지능/머신러닝,4,3,5,대리,3-5년,2025-08,2025-08-15,1,1
C++,iOS 개발자,2,1,5,사원,1-3년,2025-08,2025-08-16,1,1
RTOS,SW/솔루션,8,6,9,과장,5-10년,2025-08,2025-08-18,1,1
C,DevOps/시스템 엔지니어,5,3,10,대리,3-5년,2025-08,2025-08-20,1,0.5
MongoDB,SW/솔루션,2,1,5,사원,1-3년,2025-08,2025-08-20,1,0.5
Java,개발 PM,9,8,12,과장,5-10년,2025-08,2025-08-21,1,0.5
PostgreSQL,서버/백엔드 개발자,7,6,10,과장,5-10년,2025-08,2025-08-22,1,1
JavaScript,서버/백엔드 개발자,5,3,15,대리,3-5년,2025-08,2025-08-21,1,1
Webpack,iOS 개발자,7,5,15,과장,5-10년,2025-08,2025-08-24,1,0.5
Python,인공지능/머신러닝,2,1,5,사원,1-3년,2025-08,2025-08-22,1,0.5
Docker,서버/백엔드 개발자,7,5,15,과장,5-10년,2025-08,2025-08-23,1,0.5
C++,HW/임베디드,2,1,3,사원,1-3년,2025-08,2025-08-24,2,2
SpringBoot,DBA,4,3,8,대리,3-5년,2025-08,2025-08-27,1,1
jQuery,웹 풀스택 개발자,2,1,3,사원,1-3년,2025-08,2025-08-27,1,0.3333333333333333
Python,프론트엔드 개발자,6,5,10,대리,5-10년,2025-08,2025-08-27,1,1
Linux,SW/솔루션,0,0,0,신입,신입,2025-08,2025-08-28,1,0.5
HW,HW/임베디드,4,3,5,대리,3-5년,2025-08,2025-08-29,1,1
React,프론트엔드 개발자,5,4,6,대리,3-5년,2025-08,2025-08-29,1,1
NoSql,서버/백엔드 개발자,9,8,10,과장,5-10년,2025-08,2025-08-31,2,2
C++,인공지능/머신러닝,4,3,5,대리,3-5년,2025-08,2025-08-30,1,1
Python,빅데이터 엔지니어,14,12,15,차장,10년+,2025-08,2025-08-31,1,1
Flutter,서버/백엔드 개발자,5,3,15,대리,3-5년,2025-09,2025-09-01,1,1
VPN,기술지원,6,5,10,대리,5-10년,2025-09,2025-09-01,1,0.5
TypeScript,프론트엔드 개발자,6,5,7,대리,5-10년,2025-09,2025-09-01,1,1
VPN,서버/백엔드 개발자,5,3,10,대리,3-5년,2025-09,2025-09-01,1,0.5
AI/인공지능,HW/임베디드,0,0,0,신입,신입,2025-09,2025-09-03,1,0.3333333333333333
PHP,프론트엔드 개발자,6,5,7,대리,5-10년,2025-09,2025-09-03,1,1
CUDA,HW/임베디드,6,5,7,대리,5-10년,2025-09,2025-09-03,1,0.25
AWSCloudDevelopmentKit,웹 풀스택 개발자,16,15,20,부장,10년+,2025-09,2025-09-04,1,0.5
DeepLearning,인공지능/머신러닝,6,5,10,대리,5-10년,2025-09,2025-09-05,1,1
Infra,DevOps/시스템 엔지니어,11,10,12,과장,10년+,2025-09,2025-09-08,1,1
OpenCV,SW/솔루션,12,10,20,과장,10년+,2025-09,2025-09-09,2,0.75
Notion,인공지능/머신러닝,5,3,20,대리,3-5년,2025-09,2025-09-09,1,1
MachineLearning,DevOps/시스템 엔지니어,4,2,20,대리,3-5년,2025-08,2025-08-11,1,0.5
JavaScript,인공지능/머신러닝,5,3,15,대리,3-5년,2025-08,2025-08-11,1,1
C#,SW/솔루션,12,11,15,과장,10년+,2025-08,2025-08-12,1,1
React,SW/솔루션,2,1,5,사원,1-3년,2025-08,2025-08-16,1,1
Python,인공지능/머신러닝,6,5,10,대리,5-10년,2025-08,2025-08-16,1,1
Cocos2D-X,게임 클라이언트 개발자,3,1,15,사원,1-3년,2025-08,2025-08-18,1,0.5
Emotion,프론트엔드 개발자,6,5,10,대리,5-10년,2025-08,2025-08-18,1,1
CSS3,기술지원,0,0,0,신입,신입,2025-08,2025-08-18,1,0.3333333333333333
JavaScript,프론트엔드 개발자,4,2,20,대리,3-5년,2025-08,2025-08-20,1,1
R,SW/솔루션,4,2,15,대리,3-5년,2025-08,2025-08-19,1,0.5
MySQL,기술지원,8,6,9,과장,5-10년,2025-08,2025-08-20,1,1
RESTAPI,서버/백엔드 개발자,7,6,10,과장,5-10년,2025-08,2025-08-22,1,1
React,프론트엔드 개발자,5,3,10,대리,3-5년,2025-08,2025-08-22,1,1
Node.js,서버/백엔드 개발자,4,2,10,대리,3-5년,2025-08,2025-08-22,2,2
DeepLearning,SW/솔루션,7,5,20,과장,5-10년,2025-08,2025-08-21,1,0.5
SCSS,프론트엔드 개발자,4,2,10,대리,3-5년,2025-08,2025-08-22,1,1
React,QA 엔지니어,7,5,20,과장,5-10년,2025-08,2025-08-21,1,1
Python,서버/백엔드 개발자,3,1,4,사원,1-3년,2025-08,2025-08-21,1,1
Spring,서버/백엔드 개발자,6,5,10,대리,5-10년,2025-08,2025-08-22,1,1
TCP/IP,SW/솔루션,5,3,10,대리,3-5년,2025-08,2025-08-24,1,0.3333333333333333
Kotlin,SW/솔루션,4,3,7,대리,3-5년,2025-08,2025-08-25,1,1
NoSql,서버/백엔드 개발자,9,7,15,과장,5-10년,2025-08,2025-08-26,1,0.5
MSSQL,서버/백엔드 개발자,9,7,15,과장,5-10년,2025-08,2025-08-26,1,0.5
C++,인공지능/머신러닝,3,1,20,사원,1-3년,2025-08,2025-08-28,1,1
Django,서버/백엔드 개발자,4,3,7,대리,3-5년,2025-09,2025-09-01,1,0.5
MCU,SW/솔루션,2,1,2,사원,1-3년,2025-08,2025-08-29,1,0.5
JavaScript,프론트엔드 개발자,4,3,4,대리,3-5년,2025-08,2025-08-31,1,1
Windows,SW/솔루션,7,5,15,과장,5-10년,2025-09,2025-09-01,1,1
Django,서버/백엔드 개발자,4,3,5,대리,3-5년,2025-09,2025-09-01,1,1
Mfc,게임 클라이언트 개발자,5,3,10,대리,3-5년,2025-09,2025-09-02,1,0.5
AndroidOS,QA 엔지니어,7,6,7,과장,5-10년,2025-09,2025-09-02,1,1
QA,QA 엔지니어,7,6,7,과장,5-10년,2025-09,2025-09-02,1,1
Linux,DevOps/시스템 엔지니어,5,3,20,대리,3-5년,2025-09,2025-09-04,1,1
JavaScript,SW/솔루션,8,6,12,과장,5-10년,2025-09,2025-09-05,1,1
C++,SW/솔루션,0,0,0,신입,신입,2025-09,2025-09-08,1,1
Rust,SW/솔루션,11,10,14,과장,10년+,2025-08,2025-08-19,1,1
MachineLearning,DevOps/시스템 엔지니어,0,0,0,신입,신입,2025-08,2025-08-13,1,1
Golang,DevOps/시스템 엔지니어,4,2,5,대리,3-5년,2025-08,2025-08-16,1,1
Embedded,SW/솔루션,5,3,10,대리,3-5년,2025-08,2025-08-11,1,1
SpringFramework,서버/백엔드 개발자,7,6,10,과장,5-10년,2025-08,2025-08-16,1,0.5
Java,서버/백엔드 개발자,7,5,20,과장,5-10년,2025-08,2025-08-12,1,1
AI/인공지능,인공지능/머신러닝,7,5,20,과장,5-10년,2025-08,2025-08-12,1,0.25
QA,QA 엔지니어,2,1,5,사원,1-3년,2025-08,2025-08-13,1,1
Vue.js,프론트엔드 개발자,4,2,10,대리,3-5년,2025-08,2025-08-18,1,1
AI/인공지능,SW/솔루션,7,5,20,과장,5-10년,2025-08,2025-08-15,1,1
Git,웹 풀스택 개발자,3,1,10,사원,1-3년,2025-08,2025-08-19,1,0.3333333333333333
Gradle,서버/백엔드 개발자,7,5,12,과장,5-10년,2025-08,2025-08-18,1,1
ERP,DevOps/시스템 엔지니어,8,7,12,과장,5-10년,2025-08,2025-08-18,1,1
Haskell,인공지능/머신러닝,3,1,10,사원,1-3년,2025-08,2025-08-18,1,0.5
Linux,DevOps/시스템 엔지니어,9,7,15,과장,5-10년,2025-08,2025-08-21,1,1
