employee_id,posting_id,last_process
a00000001,"",""
a00000002,51526346,면접
a00000002,51692025,서류
a00000003,51595059,처우협의
a00000003,51691255,서류
a00000003,51573297,처우협의
a00000003,51671182,서류
a00000004,51678427,면접
a00000004,51731185,서류
a00000004,51523822,처우협의
a00000004,51618776,1차면접
a00000004,51708954,2차면접
a00000005,51538663,2차면접
a00000005,51540871,2차면접
a00000005,51628982,처우협의
a00000006,51535892,서류
a00000006,51552132,처우협의
a00000006,51629223,면접
a00000007,51686635,면접
a00000007,51747141,임원면접
a00000007,51619732,서류
a00000007,51582916,처우협의
a00000007,51741538,처우협의
a00011943,"",""
a00012062,51708092,면접
a00012062,51656828,서류
a00012062,51686680,면접
a00012062,51743731,서류
a00012063,51627673,서류
a00012063,51552796,1차면접
a00012063,51582715,처우협의
a00011780,51562709,임원면접
a00011780,51628767,서류
a00011780,51710359,서류
a00011780,51745730,코딩테스트
a00011780,51710463,면접
a00001721,51735458,서류
a00001721,51765709,서류
a00000054,51560693,면접
a00000054,51722505,1차면접
a00000054,51722453,코딩테스트
a00000054,51746105,면접
a00000008,51628304,서류
a00000008,51731100,면접
a00000008,51686635,서류
a00000009,51526164,임원면접
a00000009,51693766,처우협의
a00000009,51758290,서류
a00000018,"",""
a00000010,51735458,서류
a00000010,51765709,면접
a00000010,51475976,임원면접
a00000010,51735487,서류
a00011944,"",""
a00011945,51687038,임원면접
a00011945,51562312,서류
a00011945,51731243,서류
a00011945,51617721,1차면접
a00012997,51592945,2차면접
a00012997,51564197,면접
a00012997,51558148,1차면접
a00012997,51640594,서류
a00012997,51640148,서류
a00011828,51721120,1차면접
a00011851,51735473,면접
a00011851,51690919,서류
a00011851,51640101,면접
a00000049,51561814,1차면접
a00000011,51671202,2차면접
a00000011,51704288,서류
a00000011,51745679,1차면접
a00000011,51757578,서류
a00000011,51560682,서류
a00011781,51733790,서류
a00011781,51593549,서류
a00011782,51689276,서류
a00001676,51686610,서류
a00001676,51729977,임원면접
a00011708,51710408,서류
a00011708,51716476,실무면접
a00011708,51577592,서류
a00011708,51755243,처우협의
a00011708,51743928,실무면접
a00012998,51671202,2차면접
a00012998,51678427,서류
a00012998,51560682,처우협의
a00012998,51561814,1차면접
a00012998,51757578,서류
a00012999,"",""
a00011895,"",""
a00000014,51731171,처우협의
a00000014,51547174,서류
a00000014,51680462,실무면접
a00000014,51593385,서류
a00000014,51692220,서류
a00000420,51612675,서류
a00000420,51690048,처우협의
a00000420,51563854,2차면접
a00008160,"",""
a00000016,51729902,서류
a00011707,"",""
a00000012,"",""
a00011841,"",""
a00011946,51576445,임원면접
a00003654,51625219,1차면접
a00003654,51689853,처우협의
a00000013,51691575,1차면접
a00000013,51671670,면접
a00000013,51540914,2차면접
a00000296,"",""
a00000015,51693001,면접
a00000015,51686592,처우협의
a00000017,51593510,서류
a00000017,51551480,서류
a00000017,51706727,처우협의
a00000017,51719304,서류
a00000017,51562819,서류
a00000640,51746105,면접
a00000640,51746117,처우협의
a00000640,51592945,서류
a00000019,"",""
a00011947,51617458,1차면접
a00011947,51689610,임원면접
a00011947,51711071,처우협의
a00011947,51722568,서류
a00011947,51704621,면접
a00011948,51689623,임원면접
a00011948,51562418,처우협의
a00011948,51686592,서류
a00011948,51709903,실무면접
a00011793,"",""
a00013000,51595294,서류
a00013000,51768664,인적성검사
a00013000,51645292,처우협의
a00013000,51603257,실무면접
a00000020,"",""
a00011801,51745817,서류
a00011783,51692990,면접
a00011783,51557878,처우협의
a00011783,51631586,처우협의
a00011783,51710435,면접
a00011783,51521047,1차면접
a00011784,51703133,서류
a00011784,51710499,서류
a00011784,51721482,면접
a00011784,51704309,서류
a00000021,"",""
a00000022,51595150,처우협의
a00000022,51462247,처우협의
a00000022,51710739,면접
a00011949,51768845,임원면접
a00011786,51735669,1차면접
a00011786,51734519,서류
a00011786,51487722,서류
a00013001,51583565,서류
a00013001,51617193,2차면접
a00013002,51582427,임원면접
a00013002,51640101,면접
a00013002,51690919,서류
a00013003,51706725,서류
a00013003,51606637,서류
a00013003,51710795,서류
a00013003,51767542,서류
a00013003,51701709,2차면접
a00000023,51710739,서류
a00000023,51710734,처우협의
a00011788,51631586,2차면접
a00011788,51723762,처우협의
a00011788,51630760,서류
a00011788,51627629,서류
a00011788,51744887,서류
a00000024,51602652,처우협의
a00000024,51757073,처우협의
a00000024,51693613,실무면접
a00000038,"",""
a00011794,51476045,면접
a00011794,51523851,서류
a00011794,51528957,서류
a00011794,51653271,서류
a00011808,51702627,처우협의
a00011808,51689650,서류
a00011808,51691527,면접
a00011854,"",""
a00000412,51742778,2차면접
a00000412,51693142,서류
a00000412,51766948,서류
a00000412,51703184,서류
a00013004,51731243,처우협의
a00013004,51689829,면접
a00013004,51562819,실무면접
a00013005,51526164,서류
a00000801,51750880,면접
a00000801,51540022,서류
a00000801,51750873,서류
a00000801,51744900,실무면접
a00011700,51613386,임원면접
a00011700,51768845,실무면접
a00011700,51693778,처우협의
a00011700,51541494,임원면접
a00011700,51691255,2차면접
a00000496,51552132,2차면접
a00000025,51631741,실무면접
a00000025,51756584,서류
a00000025,51755772,서류
a00011785,"",""
a00011802,51731171,2차면접
a00011802,51747616,면접
a00011802,51524119,1차면접
a00011950,"",""
a00011951,"",""
a00000199,"",""
a00013006,51579845,1차면접
a00013006,51659122,임원면접
a00013006,51747165,서류
a00013007,51529972,처우협의
a00011876,51693136,임원면접
a00011876,51692524,처우협의
a00011919,"",""
a00000026,51689269,면접
a00000026,51741559,면접
a00011844,51631741,서류
a00011844,51630760,서류
a00011844,51581200,면접
a00011844,51719304,면접
a00011850,51552132,서류
a00011850,51729902,실무면접
a00011850,51729870,서류
a00011877,51722883,1차면접
a00011877,51529972,2차면접
a00011877,51689853,2차면접
a00000027,51613386,인적성검사
a00000027,51686302,서류
a00000027,51690892,서류
a00000028,51757719,2차면접
a00000028,51693820,서류
a00013008,51702192,처우협의
a00013008,51508512,처우협의
a00013008,51564998,서류
a00013008,51716890,서류
a00013009,51717104,처우협의
a00000086,51731138,처우협의
a00000086,51692318,서류
a00011787,51722453,코딩테스트
a00009517,51765709,서류
a00000031,51688188,서류
a00000029,51591237,처우협의
a00000029,51710454,서류
a00000029,51693012,서류
a00011847,51741617,실무면접
a00011847,51709885,실무면접
a00011847,51717844,서류
a00011847,51747148,처우협의
a00011847,51767525,면접
a00000034,51603257,임원면접
a00000034,51678427,면접
a00000034,51671701,면접
a00000034,51502135,처우협의
a00000034,51593385,임원면접
a00011888,"",""
a00000030,"",""
a00001449,"",""
a00011798,"",""
a00011835,51757578,임원면접
a00011835,51626202,1차면접
a00011835,51687038,임원면접
a00011835,51678427,면접
a00011835,51689577,임원면접
a00000032,51690892,처우협의
a00000032,51671202,2차면접
a00000032,51704288,면접
a00000032,51718120,1차면접
a00011660,51735458,면접
a00011952,51615635,2차면접
a00011952,51552796,1차면접
a00011952,51579888,처우협의
a00011952,51710359,면접
a00011952,51755022,서류
a00011953,51591331,처우협의
a00011953,51539875,서류
a00011953,51705692,처우협의
a00011953,51686515,서류
a00011953,51617449,서류
a00011954,51735601,처우협의
a00011954,51782679,실무면접
a00011954,51628298,서류
a00011954,51680513,1차면접
a00011954,51729390,임원면접
a00000033,51747587,처우협의
a00000033,51691706,처우협의
a00000033,51743928,코딩테스트
a00000033,51766861,처우협의
a00000033,51502413,서류
a00013010,51681599,실무면접
a00013010,51758621,실무면접
a00013011,51686605,서류
a00000857,51691706,처우협의
a00000857,51582268,면접
a00000035,51745817,면접
a00000035,51595037,처우협의
a00000035,51689149,처우협의
a00007203,51747616,면접
a00007203,51691723,서류
a00007203,51691706,면접
a00000036,51735487,면접
a00000036,51640101,면접
a00000036,51582427,임원면접
a00000036,51735473,서류
a00000036,51690919,임원면접
a00000037,51757346,서류
a00000037,51680407,인적성검사
a00000037,51601716,서류
a00000037,51719320,서류
a00011815,51459381,서류
a00000039,51689175,서류
a00000144,51577635,서류
a00000144,51658627,서류
a00000144,51604821,실무면접
a00000144,51744578,면접
a00000144,51745992,서류
a00013012,51710608,처우협의
a00013012,51729985,서류
a00013012,51618116,면접
a00013012,51741529,서류
a00003243,51731100,처우협의
a00003243,51730016,1차면접
a00000040,51606784,처우협의
a00000040,51562409,처우협의
a00000040,51690048,처우협의
a00000040,51692321,2차면접
a00005335,51677765,처우협의
a00005335,51689853,인적성검사
a00005335,51690892,서류
a00001203,51671202,2차면접
a00001203,51722486,처우협의
a00002328,51708954,서류
a00002328,51529972,2차면접
a00002328,51678427,면접
a00002328,51688138,서류
a00000041,51735473,서류
a00000041,51735487,서류
a00000042,51625906,면접
a00000042,51721482,면접
a00000042,51582452,서류
a00000042,51758371,2차면접
a00011870,51718034,면접
a00011870,51693001,면접
a00011870,51689829,처우협의
a00011870,51546868,코딩테스트
a00011870,51687412,처우협의
a00011834,51722245,서류
a00011834,51758587,임원면접
a00011834,51521965,서류
a00011834,51689650,실무면접
a00002409,51688188,임원면접
a00002409,51667139,서류
a00002409,51710359,면접
a00002409,51753320,처우협의
a00000043,51615298,실무면접
a00007164,51540865,서류
a00007164,51581382,처우협의
a00007164,51582176,2차면접
a00007164,51772938,1차면접
a00007164,51744309,코딩테스트
a00004901,51689203,1차면접
a00004901,51710616,처우협의
a00004901,51755772,서류
a00004901,51682782,1차면접
a00004901,51693012,면접
a00011955,51653590,서류
a00011955,51683150,2차면접
a00011956,"",""
a00000384,51628767,면접
a00000384,51671217,처우협의
a00000384,51558416,실무면접
a00011858,"",""
a00013013,51747616,서류
a00013013,51665539,서류
a00013014,"",""
a00013015,51581382,코딩테스트
a00013015,51582754,처우협의
a00013015,51595294,면접
a00013015,51488394,면접
a00013015,51552796,서류
a00000044,51756977,면접
a00011839,51692441,인적성검사
a00011839,51716302,처우협의
a00000045,51686635,면접
a00000045,51561446,면접
a00000061,"",""
a00011853,51592175,처우협의
a00011853,51757583,처우협의
a00011853,51628230,2차면접
a00011957,51538917,1차면접
a00011957,51691553,서류
a00011957,51595019,1차면접
a00011957,51757719,서류
a00001490,51756900,1차면접
a00001490,51628327,처우협의
a00001490,51689833,인적성검사
a00000242,51691255,1차면접
a00000242,51540865,서류
a00000242,51521947,2차면접
a00000046,51772730,서류
a00000046,51689833,서류
a00011809,51640101,면접
a00011809,51639819,서류
a00011809,51582438,서류
a00011809,51690919,임원면접
a00011837,51689119,면접
a00011837,51631741,실무면접
a00011837,51686647,처우협의
a00000047,51758587,서류
a00000047,51691790,처우협의
a00000047,51721304,1차면접
a00000047,51691565,서류
a00000047,51559817,서류
a00011931,"",""
a00000048,51558121,서류
a00000048,51768605,처우협의
a00000048,51487733,서류
a00000048,51630589,서류
a00000048,51606012,서류
a00000221,51689853,서류
a00000221,51523822,처우협의
a00000221,51547887,서류
a00000221,51547864,서류
a00000221,51722883,서류
a00011811,"",""
a00000050,51693001,서류
a00004072,51625219,처우협의
a00004072,51552111,처우협의
a00000051,51765709,서류
a00011830,51710641,처우협의
a00011830,51768637,면접
a00011789,51589081,2차면접
a00011789,51528706,인적성검사
a00011789,51530297,처우협의
a00011789,51581350,2차면접
a00011789,51723739,1차면접
a00011958,51766861,서류
a00011958,51582268,처우협의
a00011958,51734474,서류
a00011959,51710499,처우협의
a00011790,"",""
a00011791,51666870,2차면접
a00011791,51758587,임원면접
a00011791,51521965,1차면접
a00011813,"",""
a00011843,"",""
a00013016,51772490,서류
a00013016,51747587,처우협의
a00013016,51756230,2차면접
a00013016,51741727,처우협의
a00000052,"",""
a00000058,51612654,서류
a00000058,51522928,처우협의
a00011804,51718120,코딩테스트
a00011804,51704288,처우협의
a00011804,51560652,서류
a00011960,51628304,면접
a00011961,51525260,서류
a00011961,51710734,1차면접
a00011961,51735389,서류
a00011961,51524125,1차면접
a00000053,51595126,처우협의
a00000053,51706148,처우협의
a00000053,51612660,1차면접
a00000053,51693773,처우협의
a00011865,51628982,처우협의
a00011865,51693825,면접
a00011865,51608381,면접
a00011865,51693820,면접
a00000319,"",""
a00000055,51689829,면접
a00000055,51686647,면접
a00013017,51612654,1차면접
a00013018,51755248,면접
a00013018,51589122,인적성검사
a00008845,"",""
a00011755,51710499,면접
a00011755,51702631,서류
a00011755,51732356,서류
a00011755,51731138,1차면접
a00011755,51614797,서류
a00000056,51686619,서류
a00000056,51689175,임원면접
a00011962,51693479,면접
a00000179,51580109,처우협의
a00000179,51710781,서류
a00000179,51732356,처우협의
a00000179,51628298,서류
a00011878,51639892,처우협의
a00011878,51471872,면접
a00011878,51744900,실무면접
a00011842,51579845,2차면접
a00011842,51579869,서류
a00011842,51659166,서류
a00000062,51741727,면접
a00000062,51774017,2차면접
a00013019,51669772,서류
a00013020,51730016,코딩테스트
a00013020,51521047,1차면접
a00013020,51704621,처우협의
a00013021,51716476,서류
a00013021,51686578,서류
a00000057,51704150,2차면접
a00000057,51757406,면접
a00000057,51733269,실무면접
a00000338,51582427,서류
a00000338,51735473,서류
a00000338,51735487,면접
a00000338,51582438,임원면접
a00000059,51629215,2차면접
a00000059,51710322,처우협의
a00011963,51745679,1차면접
a00011963,51628767,서류
a00011963,51671217,1차면접
a00011963,51524119,서류
a00011963,51592945,1차면접
a00000916,51774617,서류
a00000060,51562819,임원면접
a00000070,51729870,실무면접
a00000063,51539875,서류
a00000063,51704421,처우협의
a00000063,51627847,실무면접
a00000063,51757114,처우협의
a00000063,51593549,서류
a00013022,51541611,처우협의
a00000064,51691278,서류
a00000065,51710739,면접
a00000065,51642943,서류
a00000066,51741491,임원면접
a00000066,51682779,임원면접
a00000066,51704180,코딩테스트
a00000066,51686605,서류
a00011964,51757993,처우협의
a00011964,51583565,면접
a00011964,51631586,서류
a00011964,51563854,2차면접
a00000067,51690919,서류
a00000067,51582438,임원면접
a00011792,51687105,면접
a00011792,51710350,면접
a00011792,51581200,서류
a00011857,"",""
a00000068,"",""
a00000352,"",""
a00011799,51765709,면접
a00011799,51706727,면접
a00011799,51689322,면접
a00011799,51581200,면접
a00011799,51693001,서류
a00000069,"",""
a00011965,51757029,처우협의
a00011965,51608378,서류
a00011965,51683150,2차면접
a00011965,51617461,처우협의
a00011966,51563540,처우협의
a00011966,51582452,처우협의
a00011966,51666870,서류
a00011966,51629433,실무면접
a00011966,51689868,처우협의
a00011831,51780510,2차면접
a00011831,51527210,실무면접
a00011831,51709858,서류
a00009779,51734434,서류
a00009779,51691706,면접
a00009779,51581200,면접
a00009779,51594381,처우협의
a00009779,51734427,면접
a00000107,51758617,서류
a00000107,51703210,면접
a00000107,51592831,면접
a00000107,51487733,면접
a00011886,51670390,임원면접
a00011575,"",""
a00013023,51756977,처우협의
a00013023,51475990,임원면접
a00013023,51628982,면접
a00013023,51772254,처우협의
a00013024,51538638,처우협의
a00013024,51559354,서류
a00013024,51750857,서류
a00013024,51628317,서류
a00011818,"",""
a00003793,51563540,처우협의
a00003793,51691565,서류
a00011805,"",""
a00000071,51691809,임원면접
a00000071,51691546,서류
a00011800,51734463,면접
a00011800,51691731,처우협의
a00011800,51755243,면접
a00011800,51502413,서류
a00011800,51691752,면접
a00011845,51757029,처우협의
a00011845,51539058,1차면접
a00011845,51612660,1차면접
a00000083,"",""
a00001002,51595270,처우협의
a00013025,51525750,서류
a00013025,51721482,처우협의
a00013025,51557507,서류
a00013025,51459432,처우협의
a00013025,51689813,1차면접
a00013026,51734427,서류
a00013027,51754879,면접
a00013027,51708204,실무면접
a00000128,"",""
a00000072,"",""
a00011967,51508497,처우협의
a00011968,51731902,처우협의
a00000073,51560635,서류
a00000073,51592831,서류
a00000073,51744578,처우협의
a00000074,"",""
a00000075,51691546,서류
a00000075,51689650,서류
a00000075,51758587,실무면접
a00000075,51691502,처우협의
a00000075,51562472,인적성검사
a00011935,"",""
a00011904,51589122,서류
a00011904,51710408,처우협의
a00011904,51502414,처우협의
a00011904,51594381,면접
a00000076,51769092,면접
a00000076,51671730,면접
a00000076,51691607,처우협의
a00000077,51680505,2차면접
a00000077,51743922,임원면접
a00000077,51582897,서류
a00000077,51502124,처우협의
a00011916,51692335,서류
a00011916,51767966,서류
a00011916,51581359,2차면접
a00011916,51768787,서류
a00011916,51708224,서류
a00011806,"",""
a00000183,"",""
a00000084,51710627,서류
a00000084,51743733,서류
a00000078,51689837,인적성검사
a00000078,51722568,코딩테스트
a00000078,51733834,인적성검사
a00000078,51718008,서류
a00000079,51758574,2차면접
a00000079,51583599,면접
a00000079,51686673,면접
a00000079,51682761,서류
a00013028,51691246,1차면접
a00013028,51689833,2차면접
a00013028,51670598,1차면접
a00013029,51710350,처우협의
a00013029,51476088,처우협의
a00013029,51547593,서류
a00013029,51589122,실무면접
a00013030,51593488,임원면접
a00000080,"",""
a00000081,51750857,실무면접
a00000094,51708120,서류
a00000094,51687105,처우협의
a00000094,51766861,처우협의
a00000094,51665146,임원면접
a00000098,51710359,서류
a00000098,51716476,실무면접
a00000098,51582268,처우협의
a00000098,51747616,처우협의
a00000098,51476116,면접
a00000082,51689175,임원면접
a00000082,51757893,면접
a00000082,51721120,서류
a00000082,51562409,처우협의
a00000085,51668305,서류
a00000087,51741602,실무면접
a00000087,51717861,서류
a00000087,51752050,2차면접
a00000087,51577188,1차면접
a00003523,51547887,서류
a00003523,51547864,처우협의
a00004073,51580884,서류
a00000088,51552866,서류
a00000088,51686583,처우협의
a00000088,51704621,서류
a00000088,51527427,2차면접
a00000088,51576445,서류
a00011969,"",""
a00000089,"",""
a00000090,51742820,2차면접
a00000091,51582427,서류
a00000106,51608384,면접
a00000106,51691879,서류
a00000106,51617784,서류
a00000092,51628010,서류
a00000092,51708921,1차면접
a00000092,51546868,서류
a00013031,51562819,임원면접
a00013032,51671202,2차면접
a00013032,51690892,서류
a00013032,51560682,서류
a00000109,"",""
a00000093,51756768,처우협의
a00000093,51564170,서류
a00000095,"",""
a00000096,51689837,서류
a00000096,51780872,처우협의
a00000096,51618389,1차면접
a00000097,51537084,서류
a00000097,51475976,코딩테스트
a00000097,51582390,서류
a00000097,51682782,코딩테스트
a00000097,51562312,1차면접
a00000108,51562819,임원면접
a00000108,51693686,서류
a00000120,51604685,처우협의
a00000120,51723463,면접
a00000120,51591331,서류
a00000120,51557894,면접
a00000120,51768845,임원면접
a00013033,51679695,처우협의
a00013033,51710734,2차면접
a00013033,51614797,서류
a00013034,51628982,서류
a00000099,51711226,서류
a00000099,51629333,서류
a00000099,51686680,처우협의
a00000099,51743731,서류
a00000177,"",""
a00000100,51540745,면접
a00000100,51756876,서류
a00000100,51718034,서류
a00000100,51595030,2차면접
a00000100,51616520,서류
a00000101,51735458,서류
a00000101,51735473,서류
a00000102,51716919,면접
a00000102,51744578,면접
a00000103,51731902,서류
a00000104,51753320,서류
a00000104,51502414,1차면접
a00000104,51690109,1차면접
a00013035,"",""
a00013036,51756705,서류
a00013036,51731190,처우협의
a00013036,51689331,임원면접
a00013036,51774617,1차면접
a00013037,51595080,1차면접
a00000105,51750858,임원면접
a00000110,51524119,1차면접
a00000110,51560652,서류
a00000110,51757578,서류
a00000110,51559790,1차면접
a00000110,51668331,처우협의
a00000111,51626202,처우협의
a00000111,51744483,서류
a00000111,51704288,처우협의
a00000111,51744900,임원면접
a00011709,51608381,면접
a00011709,51772490,1차면접
a00011709,51746475,처우협의
a00011709,51691246,서류
a00000320,51582427,임원면접
a00000320,51735473,면접
a00000119,51723637,서류
a00000119,51612654,1차면접
a00000119,51742006,서류
a00000119,51552866,면접
a00000119,51743922,처우협의
a00000118,51581200,면접
a00000118,51667139,2차면접
a00000118,51710408,서류
a00000118,51579705,2차면접
a00000118,51687105,처우협의
a00013038,51755022,1차면접
a00013038,51708302,서류
a00013038,51592175,처우협의
a00013038,51721853,처우협의
a00013039,51508512,면접
a00013039,51773204,코딩테스트
a00000126,51523822,처우협의
a00000126,51752071,서류
a00000126,51625219,2차면접
a00000112,51628767,면접
a00000112,51692088,면접
a00000112,51747587,처우협의
a00000112,51693825,서류
a00000112,51733790,서류
a00000465,"",""
