company_name_j,company_type,industry
메디트,중견기업,기타 주변기기 제조업
메디트,주식회사,기타 주변기기 제조업
메디트,병역특례 인증업체,기타 주변기기 제조업
메디트,수출입 기업,기타 주변기기 제조업
블루개러지,중소기업,그 외 기타 상품 전문 도매업
스마트푸드네트웍스,중견기업,"화물운송 중개, 대리 및 관련 서비스업"
스마트푸드네트웍스,주식회사,"화물운송 중개, 대리 및 관련 서비스업"
텐빌리언,"",쇼핑몰·오픈마켓
더스윙,중소기업,응용 소프트웨어 개발 및 공급업
더스윙,외국인 투자기업,응용 소프트웨어 개발 및 공급업
더스윙,주식회사,응용 소프트웨어 개발 및 공급업
더스윙,연구소,응용 소프트웨어 개발 및 공급업
더스윙,병역특례 인증업체,응용 소프트웨어 개발 및 공급업
스패로우,중소기업,응용 소프트웨어 개발 및 공급업
스패로우,주식회사,응용 소프트웨어 개발 및 공급업
소프트넷,스타트업,컴퓨터시스템 통합 자문 및 구축 서비스업
소프트넷,중소기업,컴퓨터시스템 통합 자문 및 구축 서비스업
소프트넷,주식회사,컴퓨터시스템 통합 자문 및 구축 서비스업
데이터메이커,중소기업,전기ㆍ전자공학 연구개발업
쓰리아이,중소기업,응용 소프트웨어 개발 및 공급업
쓰리아이,병역특례 인증업체,응용 소프트웨어 개발 및 공급업
쓰리아이,수출입 기업,응용 소프트웨어 개발 및 공급업
크리스틴컴퍼니,중소기업,구두류 제조업
크리스틴컴퍼니,주식회사,구두류 제조업
크리스틴컴퍼니,수출입 기업,구두류 제조업
리비바이오,중소기업,데이터베이스 및 온라인정보 제공업
서플러스글로벌,중견기업,기타 산업용 기계 및 장비 도매업
서플러스글로벌,코스닥,기타 산업용 기계 및 장비 도매업
서플러스글로벌,주식회사,기타 산업용 기계 및 장비 도매업
서플러스글로벌,수출입 기업,기타 산업용 기계 및 장비 도매업
서울거래,중소기업,컴퓨터 프로그래밍 서비스업
서울거래,주식회사,컴퓨터 프로그래밍 서비스업
이비즈테크,중소기업,"컴퓨터 및 주변장치, 소프트웨어 도매업"
에프엘이에스,중소기업,응용 소프트웨어 개발 및 공급업
에프엘이에스,주식회사,응용 소프트웨어 개발 및 공급업
더블미디어,중소기업,위성 및 기타 방송업
페이앤스토어,중소기업,포털 및 기타 인터넷 정보매개 서비스업
페이앤스토어,주식회사,포털 및 기타 인터넷 정보매개 서비스업
위펀,중소기업,""
위펀,주식회사,""
오래,스타트업,컴퓨터시스템 통합 자문 및 구축 서비스업
오래,중소기업,컴퓨터시스템 통합 자문 및 구축 서비스업
오래,주식회사,컴퓨터시스템 통합 자문 및 구축 서비스업
오투플러스,중소기업,컴퓨터 프로그래밍 서비스업
클로봇,스타트업,응용 소프트웨어 개발 및 공급업
클로봇,중소기업,응용 소프트웨어 개발 및 공급업
클로봇,코스닥,응용 소프트웨어 개발 및 공급업
클로봇,주식회사,응용 소프트웨어 개발 및 공급업
클로봇,연구소,응용 소프트웨어 개발 및 공급업
클로봇,병역특례 인증업체,응용 소프트웨어 개발 및 공급업
스카이월드와이드,중소기업,응용 소프트웨어 개발 및 공급업
스카이월드와이드,코스닥,응용 소프트웨어 개발 및 공급업
스카이월드와이드,주식회사,응용 소프트웨어 개발 및 공급업
스카이월드와이드,연구소,응용 소프트웨어 개발 및 공급업
디어유,중견기업,응용 소프트웨어 개발 및 공급업
디어유,코스닥,응용 소프트웨어 개발 및 공급업
디어유,주식회사,응용 소프트웨어 개발 및 공급업
오프리메드,중소기업,응용 소프트웨어 개발 및 공급업
오프리메드,주식회사,응용 소프트웨어 개발 및 공급업
오프리메드,연구소,응용 소프트웨어 개발 및 공급업
에스티씨랩,"",""
씨메스,중소기업,그 외 기타 특수목적용 기계 제조업
씨메스,코스닥,그 외 기타 특수목적용 기계 제조업
씨메스,주식회사,그 외 기타 특수목적용 기계 제조업
씨메스,외부감사법인,그 외 기타 특수목적용 기계 제조업
씨메스,병역특례 인증업체,그 외 기타 특수목적용 기계 제조업
씨메스,수출입 기업,그 외 기타 특수목적용 기계 제조업
피아스페이스,중소기업,응용 소프트웨어 개발 및 공급업
피아스페이스,주식회사,응용 소프트웨어 개발 및 공급업
라텔앤드파트너즈,중소기업,응용 소프트웨어 개발 및 공급업
버즈니,스타트업,응용 소프트웨어 개발 및 공급업
버즈니,중소기업,응용 소프트웨어 개발 및 공급업
버즈니,연구소,응용 소프트웨어 개발 및 공급업
버즈니,병역특례 인증업체,응용 소프트웨어 개발 및 공급업
WATA Inc.,스타트업,응용 소프트웨어 개발 및 공급업
WATA Inc.,중소기업,응용 소프트웨어 개발 및 공급업
WATA Inc.,주식회사,응용 소프트웨어 개발 및 공급업
WATA Inc.,수출입 기업,응용 소프트웨어 개발 및 공급업
삼영기업,중견기업,내부 전기배선 공사업
삼영기업,주식회사,내부 전기배선 공사업
핀즐,중소기업,솔루션·SI·ERP·CRM
핀즐,주식회사,솔루션·SI·ERP·CRM
비바이노베이션,중소기업,시스템 소프트웨어 개발 및 공급업
비바이노베이션,주식회사,시스템 소프트웨어 개발 및 공급업
이지스엔터프라이즈,중견기업,그 외 기타 금융 지원 서비스업
이지스엔터프라이즈,외부감사법인,그 외 기타 금융 지원 서비스업
이브릿지,중소기업,광고 대행업
브릭,중소기업,""
브릭,주식회사,""
브릭,수출입 기업,""
컨두잇,중소기업,포털 및 기타 인터넷 정보매개 서비스업
트리페이네트웍스,중소기업,그 외 기타 기계 및 장비 도매업
아이디에스앤트러스트,중소기업,응용 소프트웨어 개발 및 공급업
아이디에스앤트러스트,외부감사법인,응용 소프트웨어 개발 및 공급업
딥노이드,중소기업,응용 소프트웨어 개발 및 공급업
딥노이드,코스닥,응용 소프트웨어 개발 및 공급업
딥노이드,주식회사,응용 소프트웨어 개발 및 공급업
딥노이드,외부감사법인,응용 소프트웨어 개발 및 공급업
딥노이드,병역특례 인증업체,응용 소프트웨어 개발 및 공급업
아이오트러스트,스타트업,컴퓨터 프로그래밍 서비스업
아이오트러스트,중소기업,컴퓨터 프로그래밍 서비스업
아이오트러스트,주식회사,컴퓨터 프로그래밍 서비스업
티투엘,중소기업,응용 소프트웨어 개발 및 공급업
티투엘,주식회사,응용 소프트웨어 개발 및 공급업
티투엘,수출입 기업,응용 소프트웨어 개발 및 공급업
뷰리드 강남오피스,"",광고·홍보·전시
