employee_id,age,education,career,job,skills_explode,skfn_explode
a00000001,42,대졸(예정),2,서버/백엔드 개발자,MVVM,16
a00000001,42,대졸(예정),2,서버/백엔드 개발자,Classic ASP,19
a00000001,42,대졸(예정),2,서버/백엔드 개발자,Microsoft Excel,18
a00000002,31,석박사(예정),0,DBA,Amazon ElastiCache,2
a00000002,31,석박사(예정),0,DBA,SQL,10
a00000002,31,석박사(예정),0,DBA,Python,2
a00000002,31,석박사(예정),0,DBA,NGINX,6
a00000003,29,대졸(예정),1,안드로이드 개발자,Mac OS X,11
a00000003,29,대졸(예정),1,안드로이드 개발자,Webpack,18
a00000003,29,대졸(예정),1,안드로이드 개발자,Dart,15
a00000003,29,대졸(예정),1,안드로이드 개발자,Lottie,15
a00000003,29,대졸(예정),1,안드로이드 개발자,React,22
a00000004,30,대졸(예정),2,크로스플랫폼 앱개발자,React Native,22
a00000004,30,대졸(예정),2,크로스플랫폼 앱개발자,Zustand,23
a00000004,30,대졸(예정),2,크로스플랫폼 앱개발자,Spring Framework,11
a00000005,31,석박사(예정),3,인공지능/머신러닝,PyTorch,12
a00000005,31,석박사(예정),3,인공지능/머신러닝,C#,14
a00000005,31,석박사(예정),3,인공지능/머신러닝,yolo,18
a00000005,31,석박사(예정),3,인공지능/머신러닝,Windows,11
a00000005,31,석박사(예정),3,인공지능/머신러닝,DVC,21
a00000006,28,대졸(예정),4,서버/백엔드 개발자,Mybatis,27
a00000006,28,대졸(예정),4,서버/백엔드 개발자,Refactor.io,28
a00000006,28,대졸(예정),4,서버/백엔드 개발자,TypeORM,40
a00000006,28,대졸(예정),4,서버/백엔드 개발자,React,37
a00000007,22,대졸(예정),0,DevOps/시스템 엔지니어,Jenkins,8
a00000007,22,대졸(예정),0,DevOps/시스템 엔지니어,CISA,8
a00000007,22,대졸(예정),0,DevOps/시스템 엔지니어,AWS IAM,9
a00000007,22,대졸(예정),0,DevOps/시스템 엔지니어,Python,2
a00000007,22,대졸(예정),0,DevOps/시스템 엔지니어,Kubeflow,7
a00000008,26,고졸(예정),0,게임 서버 개발자,HTML5,2
a00000008,26,고졸(예정),0,게임 서버 개발자,Phaser,10
a00000008,26,고졸(예정),0,게임 서버 개발자,Unreal Engine,0
a00000009,32,대졸(예정),6,서버/백엔드 개발자,pytest,39
a00000009,32,대졸(예정),6,서버/백엔드 개발자,Objective-C,28
