company_name,salary_info_reliability,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
(주)금영제너럴,매우높음,3174,3229,3305,3418.75,3518.5,3631.75,3758.5,3885.25,4033.5,4189,4348.75,4506.25,4652.5,4787.25,4913.25,5039,5172,5314.5,5388,6419.83,6513.91
(주)낭만상회,매우낮음,2954.25,3011.75,3096.75,3226.5,3355,3502.25,3663.75,3819.75,3987.25,4154.25,4322.25,4490.75,4655,4812.5,4968.25,5134,5317.75,5514.25,5617.33,6680.83,6777.18
(주)네비웍스,높음,3326.25,3387,3468.75,3585.5,3688,3803,3934.5,4066.5,4215,4364.75,4519.75,4684.25,4854.5,5028.25,5204.5,5390.75,5593.5,5812.75,5927,7223.42,7341.45
(주)네일톡톡,낮음,4192.5,4275.75,4397,4574.25,4738,4913.5,5099,5275.5,5470.25,5660,5846.25,6029.75,6206.25,6378.75,6550.25,6728.5,6919.75,7120,7224,8338.58,8439.82
(주)노아시스템즈,매우낮음,4656,4744.75,4872.25,5060.75,5236.75,5435.75,5664.5,5903,6180,6470.5,6768.5,7072.75,7377.25,7681,7987,8301.25,8625.75,8954,9122.33,10769.08,10918.27
(주)누리인포스,보통,3314,3370.5,3443.25,3546.25,3627.25,3717.5,3822.5,3929.5,4060.25,4202.25,4359.25,4533.5,4716,4898.25,5076.75,5257,5447.75,5653.75,5761,6976.92,7087.64
(주)누비랩,낮음,3627.75,3696.5,3792.75,3932.5,4061.75,4204.75,4365.5,4527.25,4708.5,4891.5,5075,5259.75,5440.25,5615.5,5787,5960.25,6142.75,6338.25,6438,7696.25,7811.18
(주)다우기술,매우높음,4274,4350,4463.25,4648.5,4842.75,5083.25,5358.25,5631.75,5919.5,6197.25,6466.75,6732.5,6998.5,7274,7563.25,7864.5,8171.25,8479,8633.33,10397.58,10558.18
(주)더스윙,높음,4305.75,4358.5,4408.5,4463.75,4466.25,4461.5,4464.5,4469.75,4491.25,4549.5,4644,4784,4971.5,5201.75,5463,5738.25,6009,6252.5,6374,6907.83,6954.64
(주)더아머베어러,매우낮음,4245,4312.5,4403.5,4546.75,4671.25,4827.5,5004.25,5171.25,5352.75,5527.75,5701.5,5876.75,6050.25,6222.25,6393,6567,6749,6937.5,7034.67,8076,8170.64
(주)데이터드리븐,낮음,3659,3734.5,3846.75,4014.5,4183.5,4370,4571.25,4765.5,4973.5,5180.5,5390.5,5603.25,5813.75,6018.75,6220.25,6431.25,6660.5,6904.75,7032,8356.58,8476.82
(주)데이터메이커,낮음,2809.75,2866,2946.75,3062.25,3165.5,3269.75,3380.75,3491,3618.25,3749.5,3886.5,4032,4185.75,4353.75,4536.75,4739.5,4965.25,5193.75,5315.33,6105.17,6175.36
(주)두나미스아트테크놀로지스,매우낮음,3061.25,3120.5,3202.5,3317.5,3419.25,3526.25,3644.75,3766.5,3911,4065,4227.5,4396.25,4563.5,4726,4884,5042.25,5205.75,5374.5,5461,6437.58,6526.45
(주)디아이,매우낮음,3866,3941.5,4052.5,4219.75,4381.25,4555.75,4740.75,4919.25,5120,5328.5,5542,5757.25,5969.25,6182.5,6399.75,6623.25,6856,7093.75,7213.67,8645.17,8775.55
